sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	LUCILE ET MILCOURT,	0	0	3	0	0.0	[]
1	OU	1	0	1	0	0.0	[]
2	LE CRI DU SENTIMENT;	2	0	4	0	0.0	[]
3	ANECDOTE.	3	0	1	0	0.0	[]
4	Par	4	0	1	0	0.0	[]
5	Loaisel de Treogate.	5	0	3	0	0.0	[]
6	La nature frémit, l'humanité pleure,	6	0	6	0	0.0	[]
7	et la raison se taît.	7	0	5	0	0.0	[]
8	A PARIS	8	0	2	0	0.0	[]
9	Chez	8	1	1	0	0.0	[]
10	Leprieur,	9	0	1	0	0.0	[]
11	Libraire, rue de Savoie, n°.	10	0	5	0	0.0	[]
12	12.	10	1	1	0	0.0	[]
13	L'an second de la République.	11	0	6	0	0.0	[]
14	J'avais	12	0	2	0	0.0	[]
15	revu ma patrie, j'avais retrouvé parmi des bois et des rochers, cette profondeur de sentiment, ce calme de l'âme que l'on doit au silence de la retraite;	13	0	30	1	0.03333333333333333	[['calme']]
16	et malgré l'indulgence du public pour mes faibles essais, j'avais abandonné une carrière	13	1	15	1	0.06666666666666667	[['faible']]
17	si	13	2	1	0	0.0	[]
18	difficile à parcourir, où j'avais à peine fait quelques pas, et dont le but glorieux me paraissait si éloigné.	14	0	20	0	0.0	[]
19	J'avais refermé les livres de nos maîtres, où je puisai l'amour des beaux arts, que je dévorais autrefois;	14	1	20	1	0.05	[['beau']]
20	mais qui, depuis quelque temps,	14	2	5	0	0.0	[]
21	faisaient naître	15	0	2	0	0.0	[]
22	dans mon âme, à côté d'une continuelle admiration, la méfiance de mes forces et le désespoir de jamais égaler ces fameux modèles.	16	0	23	0	0.0	[]
23	Occupé de la seule étude de moi	17	0	7	0	0.0	[]
24	-même, je cherchais à devenir homme sous les yeux de la nature, et ne songeais plus qu'à m'assimiler aux bons humains qui peuplent les campagnes de ma province.	17	1	30	1	0.03333333333333333	[['oeil']]
25	Un évènement me ramène à Paris, et la maudite	17	2	9	0	0.0	[]
26	influence du sol	18	0	3	0	0.0	[]
27	me remet la plume à la main.	18	1	7	0	0.0	[]
28	Des idées tristes ont fermenté dans ma tête;	18	2	8	1	0.125	[['triste']]
29	et dans l'essor impétueux d'une imagination	18	3	8	0	0.0	[]
30	ardente	19	0	1	0	0.0	[]
31	et presque toujours abandonnée à elle-même, j'ai écrit l'anecdote qu'on va lire.	19	1	15	0	0.0	[]
32	Nos frivolistes plaisant, nos chercheurs d'étincelles, vont crier encore: à l'homme noir, à l'esprit vaporeux;	20	0	18	1	0.05555555555555555	[['noir']]
33	mais comme je ne prétends point les faire tomber en	20	1	10	0	0.0	[]
34	Sincope,	21	0	1	0	0.0	[]
35	ni même altérer en rien les vibrations douces et réglées de leurs fibres délicates	22	0	14	1	0.07142857142857142	[['douce']]
36	, je les préviens que je n'écris que pour ceux qui n'aiment pas toujours à rire, et les avertis de se borner au coup-d'œil rapide de cet avant-propos;	22	1	29	0	0.0	[]
37	et de laisser là mon livre, si le hasard le met dans leurs mains.	23	0	14	0	0.0	[]
38	Si d'après cet avis ils ont le courage de me lire, et l'injustice de me critiquer, je leur répondrai: pourquoi proscrire tous les goûts qui ne sont pas les vôtres?	24	0	32	0	0.0	[]
39	Si je préfère la marguerite que vous n'aimez pas, à la tubereuse que vous aimez;	24	1	16	0	0.0	[]
40	si	24	2	1	0	0.0	[]
41	votre voisin, après une lecture réfléchie d'un morceau d'Young, part la nuit en poste,	25	0	16	0	0.0	[]
42	pour aller rêver seul dans la forêt de Fontainebleau;	25	1	9	0	0.0	[]
43	quand, au sortir d'un souper délicieux, vous descendez avec un groupe de nymphes,	25	2	14	1	0.07142857142857142	[['délicieux']]
44	dans	25	3	1	0	0.0	[]
45	les jardins du Palais	26	0	4	0	0.0	[]
46	-royal, il est absurde de le trouver mauvais, et de vous en fâcher.	26	1	13	0	0.0	[]
47	Eh! messieurs, soyez tolérans;	27	0	4	0	0.0	[]
48	il est si beau de l'être.	27	1	7	1	0.14285714285714285	[['beau']]
49	Je vous laisse vos goûts, laissez-moi les miens;	27	2	9	0	0.0	[]
50	laissez-moi préférer les musettes de mon village à l'orchestre de l'opéra;	27	3	14	0	0.0	[]
51	et songezbien qu'il me serait aussi difficile de m'amuser	27	4	11	0	0.0	[]
52	des	27	5	1	0	0.0	[]
53	Sales poésies de Grecourt et des plates farces de Vadé, qu'il vous serait mal-aisé de renoncer à rire, et de méditer Paschal.	28	0	23	2	0.08695652173913043	[['sale'], ['plate']]
54	Si je voulais justifier mon genre, je pourrais prouver	29	0	9	0	0.0	[]
55	par	29	1	1	0	0.0	[]
56	des exemples que les âmes humaines ont besoin de secousses, que la douleur et la pitié les dispose, les amène par degré à cette philosophie de l'homme réfléchissant, qui l'éclaire et le guide dans le chaos des événements de la vie; que l'Héloïse	30	0	46	0	0.0	[]
57	de	30	1	1	0	0.0	[]
58	Jean-Jacques a guéri plus d'un cœur, de passions terrestres, pour l'élever aux transports sacrés du véritable amour;	31	0	19	0	0.0	[]
59	qu'enfin le Télémaque, les chef- d'œuvres de Richardson, les Tombeaux d'Hervey et les Nuits d'Young, ont corrigé plus d'un libertin.	31	1	25	0	0.0	[]
60	Mais tout cela ne persuaderoit point ceux qui ne veulent pas être persuadés.	32	0	13	0	0.0	[]
61	Ce préambule était donc inutile?	33	0	5	0	0.0	[]
62	J'en conviens, ces avertissement sans fin, mis à la tête de la plupart de nos romans, qui, par eux-mêmes, n'exigent aucun éclaircissement préliminaire, sont presque toujours des discours déplacés, où l'on voit	33	1	36	2	0.05555555555555555	[['fin'], ['tête']]
63	à	33	2	1	0	0.0	[]
64	travers les expressions rebattues de modestie et d'insuffisance, que l'auteur, premier juge et premier prôneur de son ouvrage, n'est occupé qu'à indiquer son mérite, de peur sans doute que le public n'ait pas l'esprit de l'apercevoir.	34	0	43	0	0.0	[]
65	Des sentiment vrais, des tableaux vigoureusement touchés,	35	0	7	0	0.0	[]
66	et d'un ton de couleur piquante	36	0	7	2	0.2857142857142857	[['ton'], ['couleur']]
67	, cet ensemble heureux qui plaît et intéresse;	36	1	7	0	0.0	[]
68	un bon livre enfin, porte avec lui son éloge, et n'a pas besoin de préface.	36	2	16	0	0.0	[]
69	LUCILE ET MILCOURT,	37	0	3	0	0.0	[]
70	OU	38	0	1	0	0.0	[]
71	LE CRI DU SENTIMENT.	39	0	4	0	0.0	[]
72	ANECDOTE (1).	40	0	3	0	0.0	[]
73	„	41	0	1	0	0.0	[]
74	JE ne vous envie plus, fantômes “de l'orgueil, que j'ai vainement et “follement poursuivis;	41	1	18	0	0.0	[]
75	dignités illusoires, faux biens, idoles et tyrans “de mes semblables;	41	2	11	1	0.09090909090909091	[['faux']]
76	non, je ne vous “envie plus.	41	3	7	0	0.0	[]
77	Vous êtes le partage de “l'intrigue rampante,	41	4	9	0	0.0	[]
78	et du	41	5	2	0	0.0	[]
79	vice “adroit;	42	0	3	0	0.0	[]
80	pourriez	42	1	1	0	0.0	[]
81	- vous être la récompense de la vertu?	42	2	7	0	0.0	[]
82	Entourez, “accablez vos heureux adorateurs,	42	3	6	0	0.0	[]
83	“	43	0	1	0	0.0	[]
84	sans vous je veux goûter la paix.	43	1	7	0	0.0	[]
85	Demeure champêtre!	43	2	2	0	0.0	[]
86	seul et précieux “héritage de mes pères, je viens dans “votre sein abjurer mes erreurs à la “face de la nature paisible, et lui “demander pardon d'avoir si long	43	3	34	2	0.058823529411764705	[['sein'], ['face']]
87	-temps dédaigné ces simples	43	4	4	0	0.0	[]
88	retraites.	44	0	1	0	0.0	[]
89	Ainsi s'exprimait le vieux Edmont de Saint-Flour, en se promenant sous un bois de peupliers.	45	0	16	1	0.0625	[['vieux']]
90	Dernier rejetons d'une famille de la Provence, autrefois riche et considérable, mais que la mauvaise fortune poursuivait depuis près d'un siècle;	46	0	23	1	0.043478260869565216	[['riche']]
