sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	ALCIBIADE OU LE MOI	0	0	4	0	0.0	[]
1	La nature et la fortune semblaient avoir conspiré au bonheur d' Alcibiade.	0	1	12	0	0.0	[]
2	Richesses, talents, beauté, naissance, la fleur de l' âge et la santé, que de titres pour avoir tous les ridicules!	0	2	20	0	0.0	[]
3	Alcibiade n' en avait qu' un, il voulait être aimé pour lui-même.	0	3	12	0	0.0	[]
4	Depuis la coquetterie jusqu' à la sagesse, il avait tout séduit dans Athènes;	0	4	13	0	0.0	[]
5	mais en lui était-ce bien lui qu' on aimait?	0	5	10	0	0.0	[]
6	Cette délicatesse lui prit un matin, comme il venait de faire sa cour à une prude: c' est le moment des réflexions.	0	6	22	0	0.0	[]
7	Alcibiade en fit sur ce qu' on appelle le sentiment pur, la métaphysique de l' amour.	0	7	16	1	0.0625	[['pur']]
8	Je suis bien dupe, disait-il, de prodiguer mes soins à une femme qui ne m' aime peut-être que pour elle-même!	0	8	21	0	0.0	[]
9	Je le saurai, de par tous les dieux; et s' il en est ainsi, elle peut chercher parmi nos athlètes un soupirant qui me remplace.	0	9	25	0	0.0	[]
10	La belle prude, suivant l' usage, opposait toujours quelque faible résistance aux désirs d' Alcibiade.	0	10	15	2	0.13333333333333333	[['bel'], ['faible']]
11	C' était une chose épouvantable!	0	11	5	0	0.0	[]
12	Elle ne pouvait y penser sans rougir.	0	12	7	0	0.0	[]
13	Il fallait aimer comme elle aimait, pour s' y résoudre.	0	13	10	0	0.0	[]
14	Elle aurait voulu, pour tout au monde, qu' il fût moins jeune et moins empressé.	0	14	15	0	0.0	[]
15	Alcibiade la prit au mot.	0	15	5	0	0.0	[]
16	Je m' aperçois, madame, lui dit-il un jour, que ces complaisances vous coûtent: eh bien!	0	16	16	0	0.0	[]
17	Je veux vous donner une preuve de l' amour le plus parfait.	0	17	12	0	0.0	[]
18	Oui, je consens, puisque vous le voulez, que nos âmes seules saient unies, et je vous donne ma parole de n' exiger rien de plus.	0	18	25	0	0.0	[]
19	La prude loua cette résolution d' un air bien capable de la faire évanouir;	0	19	14	0	0.0	[]
20	mais Alcibiade tint bon.	0	20	4	0	0.0	[]
21	Elle en fut surprise et piquée;	0	21	6	0	0.0	[]
22	cependant il fallut dissimuler.	0	22	4	0	0.0	[]
23	Le jour suivant, tout ce que le déshabillé peut avoir d' agaçant fut mis en usage.	0	23	16	0	0.0	[]
24	La vivacité du désir brillait dans les yeux de la prude;	0	24	11	2	0.18181818181818182	[['briller'], ['oeil']]
25	dans son maintien, la nonchalance et la volupté.	0	25	8	1	0.125	[['maintien']]
26	Les voiles les plus légers, le désordre le plus favorable, tout en elle invitait Alcibiade à s' oublier.	0	26	18	0	0.0	[]
27	Il aperçut le piège.	0	27	4	0	0.0	[]
28	Quelle victoire, lui dit-il, madame, quelle victoire à remporter sur moi-même!	0	28	13	0	0.0	[]
29	Je vois bien que l' amour m' éprouve, et je m' en applaudis;	0	29	13	0	0.0	[]
30	la délicatessede mes sentiment en éclatera davantage.	0	30	7	0	0.0	[]
31	Ces voiles transparent et légers, ces coussins dont la volupté semble avoir formé son trône, votre beauté, mes désirs;	0	31	19	1	0.05263157894736842	[['transparent']]
32	combien d' ennemis à vaincre!	0	32	5	0	0.0	[]
33	Ulysse n' y échapperait pas;	0	33	5	0	0.0	[]
34	Hercule y succomberait;	0	34	3	0	0.0	[]
35	je serai plus sage qu' Ulysse, et moins fragile qu' Hercule;	0	35	11	0	0.0	[]
36	oui, je vous prouverai que le seul plaisir d' aimer peut tenir lieu de tous les plaisirs.	0	36	17	0	0.0	[]
37	Vous êtes charmant, lui dit-elle, et je puis me flatter d' avoir un amant unique;	0	37	16	1	0.0625	[['charmer']]
38	je ne crains qu' une chose, c' est que votre amour ne s' affaiblisse par la rigueur.	0	38	17	0	0.0	[]
39	Au contraire, interrompit vivement Alcibiade, il n' en sera que plus ardent.-mais, mon cher enfant, vous êtes jeune, il est des moment où l' on n' est pas maître de soi;	0	39	31	0	0.0	[]
40	et je crois votre fidélité bien hasardée, si je vous livre à vos désirs.-soyez tranquille, madame, je vous répons de tout.	0	40	21	0	0.0	[]
41	Je puis vaincre mes désirs auprès de vous;	0	41	8	0	0.0	[]
42	auprès de qui n' en serai-je pas le maître?-vous me promettez du moins lui dit-elle, que, s' ils deviennent trop pressant, vous m' en ferez l' aveu?	0	42	29	1	0.034482758620689655	[['presser']]
43	Je ne veux point qu' une mauvaise honte vous retienne.	0	43	10	0	0.0	[]
44	Ne vous piquez pas de me tenir parole: il n' est rien que je ne vous pardonne plutôt qu' une infidélité.-oui, madame, je vous avouerai ma faiblesse de la meilleure foi du monde, quand je serai prêt à y succomber:mais laissez-moi du moins éprouver mes forces;	0	44	48	0	0.0	[]
45	je sens qu' elles iront encore loin, et j' espère que l' amour m' en donnera de nouvelles.	0	45	18	0	0.0	[]
46	La prude était furieuse;	0	46	4	0	0.0	[]
47	mais, sans se démentir, elle ne pouvait se plaindre: elle se contraignit encore, dans l' espoir qu' à une nouvelle épreuve Alcibiade succomberait.	0	47	23	0	0.0	[]
48	"Il reçut le lendemain, à son réveil, un billet conçu en ces termes: "" j' ai passé la plus cruelle nuit;"	0	48	21	0	0.0	[]
49	venez me voir.	0	49	3	0	0.0	[]
50	Je ne puis vivre sans vous.	0	50	6	0	0.0	[]
51	""" il arrive chez la prude."	0	51	5	0	0.0	[]
52	Les rideaux des fenêtres n' étaient qu' entre' ouverts;	0	52	9	0	0.0	[]
53	un jour tendre se glissait dans l' appartement à travers des ondes de pourpre.	0	53	14	1	0.07142857142857142	[['tendre']]
54	La prude était encore dans un lit parsemé de roses.	0	54	10	0	0.0	[]
55	Venez, lui dit-elle d' une voix plaintive, venez calmer mes inquiétudes.	0	55	12	1	0.08333333333333333	[['voix']]
56	Un songe affreux m' a tourmentée cette nuit!	0	56	8	0	0.0	[]
57	J	0	57	1	0	0.0	[]
58	' ai cru vous voir aux genoux d' une rivale.	0	58	9	1	0.1111111111111111	[['genou']]
59	Ah!	0	59	1	0	0.0	[]
60	J' en frémis encore.	0	60	4	0	0.0	[]
61	Je vous l' ai dit, Alcibiade, je ne puis vivre dans la crainte que vous ne soyez infidèle: mon malheur serait d' autant plus sensible, que j' en serais moi-même la cause: et je veux du moins n' avoir rien à me reprocher.	0	61	44	0	0.0	[]
62	Vous avez beau me promettre de vous vaincre, vous êtes trop jeune pour le pouvoir long-temps.	0	62	17	2	0.11764705882352941	[['beau'], ['long']]
63	Ne vous connais-je pas?	0	63	5	0	0.0	[]
64	Je sens que j' ai trop exigé de vous, je sens qu' il y a de l' imprudence et de la cruauté à vous imposer une loi sidure.	0	64	28	0	0.0	[]
65	Comme elle parlait ainsi de l' air du monde le plus touchant, Alcibiade se jette à ses pieds.	0	65	18	0	0.0	[]
66	Je suis bien malheureux, lui dit-il, madame, si vous ne m' estimez pas assez pour me croire capable de m' attacher à vous par les seuls liens du sentiment!	0	66	30	0	0.0	[]
67	Après tout, de quoi me suis-je privé?	0	67	8	0	0.0	[]
68	De ce qui déshonore l' amour.	0	68	6	0	0.0	[]
69	Je rougis de voir que vous comptiez ce sacrifice pour quelque chose: mais fût-il aussi grand que vous vous l' imaginez, je n' en aurai que plus de gloire.	0	69	30	1	0.03333333333333333	[['grand']]
70	Non, mon cher Alcibiade, lui dit la prude en lui tendant la main, je ne veux point d' un sacrifice qui te coûte;	0	70	23	2	0.08695652173913043	[['tendre'], ['main']]
71	je suis trop sûre et trop flattée de l' amour pur et délicat que tu m' as si bien témoigné.	0	71	20	2	0.1	[['pur'], ['délicat']]
72	Sois heureux, j' y consens.	0	72	5	0	0.0	[]
73	Je le suis, madame, s' écria-t-il, du bonheur de vivre pour vous: cessez de me soupçonner et de me plaindre;	0	73	22	0	0.0	[]
74	vous voyez l' amant le plus fidèle, le plus tendre, le plus respectueux.	0	74	13	2	0.15384615384615385	[['amer'], ['tendre']]
75	Et le plus sot, interrompit-elle en tirant brusquement ses rideaux;	0	75	11	0	0.0	[]
76	et elle appela ses esclaves.	0	76	5	0	0.0	[]
77	Alcibiade sortit furieux de n' avoir été aimé que comme un autre, et bien résolu de ne plus revoir une femme qui ne l' avait pris que pour son plaisir.	0	77	30	1	0.03333333333333333	[['furieux']]
78	Ce n' est pas ainsi, dit-il, qu' on aime dans l' âge de l' innocence; et, si la jeune Glicérie éprouvait pour moi ce que ses yeuxsemblent me dire, je suis bien certain que ce serait de l' amour tout pur.	0	78	42	0	0.0	[]
79	Glicérie, dans sa quinzième année, attirait déjà les vœux de la plus brillante jeunesse.	0	79	14	0	0.0	[]
80	Qu' on imagine une rose au moment de s' épanouir;	0	80	10	1	0.1	[['rose']]
81	tels étaient la fraîcheur et l' éclat de sa beauté.	0	81	10	1	0.1	[['fraîcheur']]
82	Alcibiade se présenta, et ses rivaux se dissipèrent.	0	82	8	0	0.0	[]
83	Ce n' était point encore l' usage, à Athènes, de s' épouser pour se haïr et pour se mépriser le lendemain; et l' on donnait aux jeunes gens, avant l' hymen, le loisir de se voir et de se parler avec une liberté décente.	0	83	44	0	0.0	[]
84	Les filles ne se reposaient pas sur leurs gardiens du soin de leur vertu;	0	84	14	0	0.0	[]
85	elles se donnaient la peine d' être sages elles-mêmes.	0	85	10	0	0.0	[]
86	La pudeur n' a commencé à combattre faiblement que depuis qu' on lui a dérobé les honneurs de la victoire.	0	86	20	0	0.0	[]
87	Celle de Glicérie fit la plus belle défense.	0	87	8	1	0.125	[['bel']]
88	Alcibiade n' oublia rien pour la surprendre ou pour la gagner.	0	88	11	0	0.0	[]
89	Il loua la jeune athénienne sur ses talents, ses grâces, sa beauté;	0	89	12	0	0.0	[]
90	il lui fit sentir, dans tout ce qu' elle disait, une finesse qu' elle n' y avait pas mise, et une délicatesse dont elle ne se doutait pas.	0	90	28	0	0.0	[]
91	Quel dommage qu' avec tant de charmes elle n' eût pas un cœur sensible!	0	91	14	0	0.0	[]
92	Je vous adore, lui disait-il, et je suis heureux si vous m' aimez.	0	92	14	0	0.0	[]
93	Ne craignez pas de me le dire: unecandeur ingénue est la vertu de votre âge.	0	93	15	0	0.0	[]
94	On a beau donner le nom de prudence à la dissimulation, cette belle bouche n' est pas faite pour trahir les sentiment de votre cœur;	0	94	25	3	0.12	[['beau'], ['bel'], ['bouche']]
95	qu' elle soit l' organe de l' amour, c' est pour lui-même qu' il l' a formée.	0	95	17	0	0.0	[]
96	Si vous voulez que je sois sincère, lui répondit Glicérie avec une modestie mêlée de tendresse, faites du moins que je puisse l' être sans rougir.	0	96	26	0	0.0	[]
97	Je veux bien ne pas trahir mon cœur, mais je veux aussi ne pas trahir mon devoir;	0	97	17	0	0.0	[]
98	et je trahirais l' un ou l' autre si j' en disais davantage.	0	98	13	0	0.0	[]
99	Glicérie voulait, avant de s' expliquer, que leur hymen fût conclu.	0	99	11	0	0.0	[]
100	Alcibiade voulait qu' elle s' expliquât avant de penser à l' hymen.	0	100	12	0	0.0	[]
