sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	***LE LIBERTIN DE QUALITÉ.	0	0	5	0	0.0	[]
1	**	0	1	1	0	0.0	[]
2	Jusqu'ici, mon ami, j'ai été un vaurien ;	1	0	9	0	0.0	[]
3	j'ai couru les beautés, j'ai fait le difficile : à présent la vertu rentre dans mon cœur ;	1	1	18	0	0.0	[]
4	je ne veux plus foutre que pour de l'argent ;	1	2	10	0	0.0	[]
5	je vais m'afficher étalon juré des femmes sur le retour, et je leur apprendrai à jouer du cul à tant par mois.	1	3	23	1	0.043478260869565216	[['cul']]
6	Il me semble déjà voir une dondon, qui n'a plus que six mois à passer pour quarantaine, m'offrir la molle épaisseur d'une ample fressure.	2	0	27	1	0.037037037037037035	[['molle']]
7	Elle est fraîche encore dans sa courte grosseur ;	2	1	8	2	0.25	[['frais'], ['court']]
8	ses tétons rougissans d'une substance trop abondante, sont d'accord avec ses petits yeux pour exprimer toute autre chose que la pudeur ;	2	2	23	2	0.08695652173913043	[['petit'], ['oeil']]
9	elle me patine la main : car la financière, comme son mari, patine tout et toujours ;	2	3	15	1	0.06666666666666667	[['main']]
10	je rougis : ah voyez comme cela me va, comme mes yeux s'animent, comme mon pucelage m'étouffe ;	2	4	18	1	0.05555555555555555	[['oeil']]
11	car vous noterez que j'ai mon pucelage, et que je cherche à me faire élever.	2	5	16	0	0.0	[]
12	On m'offre plus que je ne veux ;	2	6	8	0	0.0	[]
13	les agaceries sont de vraies orgies...	2	7	6	0	0.0	[]
14	Foin, je ne bande point...	2	8	5	0	0.0	[]
15	Je deviens triste, mes malheurs me tourmentent ;	2	9	7	1	0.14285714285714285	[['triste']]
16	des créanciers avides...	2	10	3	0	0.0	[]
17	Pendant ce temps-là, ma main erre ;	2	11	7	2	0.2857142857142857	[['pendant'], ['main']]
18	elle s'anime : quelle légèreté comme la cadence est brillante ma voix exprime l'adage, mon archet est l'organe d'un presto vigoureux et soutenu.	2	12	26	3	0.11538461538461539	[['briller'], ['voix'], ['vigoureux']]
19	Ah mon ami, voyez le cul de ma dondon, comme il bondit...	2	13	12	1	0.08333333333333333	[['cul']]
20	Sa poitrine siffle, son gosier se serre, son c... décharge, elle est en fureur, elle veut m'entraîner...	2	14	18	1	0.05555555555555555	[['poitrine']]
21	Là, là, tout doux...	2	15	4	0	0.0	[]
22	La douleur me ressaisit...	2	16	4	0	0.0	[]
23	On me fait des offres : hélas comment se résoudre à accepter d'une femme à qui on voudrait témoigner le sentiment le plus pur On redouble ;	2	17	26	1	0.038461538461538464	[['pur']]
24	je pleure : l'or paraît...	2	18	5	0	0.0	[]
25	L'or ...	2	19	2	0	0.0	[]
26	Sacredieu je bande et je la fous.	2	20	7	0	0.0	[]
27	Mais ma chaste dondon en paie plus d'un ; aussi bientôt après ma facile victoire, je me fais présenter chez madame Honesta (famille presque éteinte).	3	0	26	1	0.038461538461538464	[['éteindre']]
28	Tout y respire la pudeur et l'honnêteté ;	3	1	8	0	0.0	[]
29	tout prêche l'abstinence, jusqu'à son visage, dont la tournure, quoique assez piquante, n'a cependant aucun de ces détails qu'inspirent la tendresse.	3	2	25	1	0.04	[['visage']]
30	Mais elle a des yeux, de la physionomie, une taille qui serait trop maigre, si toute l'habitude du corps ne s'y proportionnait pas.	3	3	25	4	0.16	[['oeil'], ['taille'], ['maigre'], ['corps']]
31	Je ne louerai pas sa gorge, quoiqu'une gaze qui s'est dérangée m'ait permis d'entrevoir dans le lointain ;	3	4	21	1	0.047619047619047616	[['gorge']]
32	ses bras sont un peu longs, mais ils sont flexibles : on pourrait souhaiter une jambe plus régulière ;	3	5	17	4	0.23529411764705882	[['bras'], ['long'], ['flexible'], ['jambe']]
33	telle qu'elle est, un joli pied la termine.	3	6	9	2	0.2222222222222222	[['joli'], ['pied']]
34	Nous avons les grands airs , des nerfs , des migraines , un mari que l'on ne voit qu'à table, des gens discrets, de l'esprit bizarre, capricieux, mais vif ;	3	7	29	1	0.034482758620689655	[['grand']]
35	mais quelquefois ne ressemblant qu'à soi... Pardieu allez-vous me dire que celle-là ne vous paiera pas ?	3	8	19	0	0.0	[]
36	... Ô que si parce qu'elle est vaniteuse, parce qu'elle se pique de générosité, parce qu'elle veut primer.	3	9	20	0	0.0	[]
37	D'abord, vous imaginez bien que nous faisons du respect, de l'esprit, des pointes, des calembours ; que madame a raison, que tout chez elle est au mieux possible...	4	0	29	0	0.0	[]
38	Irai-je à sa toilette ?	4	1	5	0	0.0	[]
39	Pourquoi non ?	4	2	2	0	0.0	[]
40	...	4	3	0	0	0	[]
41	Je placerai une mouche ;	4	4	4	0	0.0	[]
42	je donnerai à cette boucle tout le jeu dont elle est susceptible...	4	5	12	1	0.08333333333333333	[['boucle']]
43	Un chapeau arrive...	4	6	3	0	0.0	[]
44	Bon dieu les grâces l'ont inventé ;	4	7	7	0	0.0	[]
45	le dieu du goût lui-même en a placé les fleurs, et tous les zéphyr jouent dans les plumes qui le couvrent.	4	8	21	0	0.0	[]
46	Comme cette gaze Prune-de-Monsieur coupe avec ce vert anglais ...	4	9	9	0	0.0	[]
47	Mais, qui l'a envoyé ?	4	10	5	0	0.0	[]
48	... Vous sentez que je suis le coupable ; et pourquoi un coupable ne rougit-il pas ?	4	11	15	0	0.0	[]
49	...	4	12	0	0	0	[]
50	Je suis trahi, déconcerté, boudé... Victoire, que son emploi de femme-de-chambre, quelques baisers des plus vifs et un louis, ont mise dans mes intérêts, le plaide en mon absence...	4	13	29	1	0.034482758620689655	[['vif']]
51	Ah madame, si vous saviez ce que l'on me dit de vous ...	4	14	13	0	0.0	[]
52	Combien ce monsieur est aimable Il vaut bien mieux que votre chevalier, et je suis sûre qu'il ne vous coûterait qu'une misère...	4	15	24	0	0.0	[]
53	Il n'est pas joueur, je le sais par son laquais ;	4	16	11	0	0.0	[]
54	c'est un cœur tout neuf.---Mais, crois	4	17	7	0	0.0	[]
55	-tu que je sois assez aimable pour...---Ah dieu madame, comme ce chapeau est tourné Vous voilà à l'âge de vingt ans.---Tais	4	18	23	0	0.0	[]
56	-toi, folle, sais-tu que j'en ai trente et passés ?	4	19	11	0	0.0	[]
57	... (Pardieu, oui, passés , et il y a dix ans que cela est public)...	4	20	15	0	0.0	[]
58	Je reviens l'après-midi ;	4	21	4	0	0.0	[]
59	on est seule : pourquoi ne le serait-on pas ?	4	22	9	0	0.0	[]
60	Je demande pardon en offensant davantage ;	4	23	6	0	0.0	[]
61	on s'attendrit, je me passionne ;	4	24	6	1	0.16666666666666666	[['attendrir']]
62	on se... (foutre, attendez donc...	4	25	6	0	0.0	[]
63	Cette femme-là est d'une précipitation à me faire perdre les frais de mon chapeau.	4	26	16	1	0.0625	[['frais']]
64	) Vous sentez bien que mon laquais n'est pas assez bête pour ne pas me faire avertir que le ministre (ah pardieu tout au moins) m'attend.	4	27	27	0	0.0	[]
65	Je jette un coup-d'œil assassin ;	4	28	5	0	0.0	[]
66	j'embrasse cette main qui tremble dans la mienne...	4	29	9	1	0.1111111111111111	[['main']]
67	Je me relève et je pars.	4	30	6	1	0.16666666666666666	[['relever']]
68	Pendant ce temps-là je fais connaissance	5	0	7	1	0.14285714285714285	[['pendant']]
69	avec une de ces femmes qui, blasées sur tout, cherchent des plaisirs à quelque prix que ce soit.	5	1	18	0	0.0	[]
70	Elle me fait des avances, parce que son honneur, sa réputation, la bienséance...	5	2	13	0	0.0	[]
71	Tout cela est aussi loin que sa jeunesse.	5	3	8	0	0.0	[]
72	Nous sommes bientôt arrangés ;	5	4	4	0	0.0	[]
73	elle me paie ;	5	5	3	0	0.0	[]
74	car je ne veux sacredieu pas décharger...	5	6	7	0	0.0	[]
75	Mon infante le sait ;	5	7	4	0	0.0	[]
76	les tracasseries viennent.	5	8	3	0	0.0	[]
77	Ah doux argent je sens que ton auguste présence ...	5	9	9	2	0.2222222222222222	[['dou'], ['ton']]
78	Enfin on se détermine ;	5	10	4	0	0.0	[]
79	il y a déjà quinze mortels jours qu'on languit.	5	11	10	0	0.0	[]
80	Je fais entendre, modestement, que la reconnaissance m'attache, que j'ai des obligations d'un genre...	5	12	17	0	0.0	[]
81	N'est-ce que cela ?... On me paie au double ;	5	13	11	0	0.0	[]
82	et dès-lors je suis quitte avec ma messaline : je vole dans les bras qui m'ont comblé de bienfaits nouveaux, et je goûte... non pas du plaisir... mais la satisfaction de prouver que je ne suis pas ingrat.	5	14	39	1	0.02564102564102564	[['bras']]
83	Las que voulez-vous ?	6	0	4	0	0.0	[]
84	Quand on a engraissé la poule, elle ne pond plus ;	6	1	10	0	0.0	[]
85	les honoraires se ralentissent, et je dors.---Comment, tu dors ?	6	2	9	0	0.0	[]
86	---Oui, la nuit, et qui plus est le matin...	6	3	9	0	0.0	[]
87	Ce matin chéri qui anime l'espérance, qui éclaire les combats amoureux.	6	4	12	0	0.0	[]
88	On se plaint ;	6	5	3	0	0.0	[]
89	je me fâche ;	6	6	3	0	0.0	[]
90	on parle de procédés, d'ingratitude, et je démontre que l'on a tort, car je m'en vais.	6	7	19	0	0.0	[]
91	Dieu	7	0	1	0	0.0	[]
92	Plutus inspirez	7	1	2	0	0.0	[]
93	-moi ...	7	2	1	0	0.0	[]
94	Un dieu m'apparaît ;	7	3	4	0	0.0	[]
95	mais il n'est point chargé de ses attributs heureux : c'est le dieu du conseil, le diligent Mercure ;	7	4	19	0	0.0	[]
96	il me console, et m'envoie chez monsieur Doucet.	7	5	9	0	0.0	[]
97	Vous ne le connaissez sûrement pas : or, écoutez.	7	6	8	0	0.0	[]
98	Une taille qu'une soutanne et un manteau long font paraître dégagée ;	8	0	12	2	0.16666666666666666	[['taille'], ['long']]
99	un visage qui rassemble la maturité de l'âge, l'embonpoint et la fraîcheur, des yeux de lynx, une perruque adonisée, l' esprit en a tracé la coupe ;	8	1	28	3	0.10714285714285714	[['visage'], ['fraîcheur'], ['oeil']]
100	sa physionomie ouverte, mais décente, répand l'éclat de la béatitude ;	8	2	11	0	0.0	[]
101	il ne se permet qu'un sourire, mais ce sourire laisse voir de belles dents...	8	3	15	2	0.13333333333333333	[['sourire'], ['beau']]
