sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	EPITRE DÉDICATOIRE A LA SULTANE REINE.	0	0	6	0	0.0	[]
1	TA HAUTESSE, Magnifique Sultane, Incomparable Houri * du Monarque des Musulmans	1	0	10	1	0.1	[['magnifique']]
2	, m'a fait commander de traduire les Ouvrages inestimables du Philosophe la Lumiére de l'Inde, le plus sage de tous les Visirs.	1	1	23	0	0.0	[]
3	Je me suis incliné avec respect devant tes ordres;	2	0	9	0	0.0	[]
4	j'en ai porté le seau sur mon front etamp;	2	1	10	1	0.1	[['front']]
5	sur ma poitrine.	2	2	3	0	0.0	[]
6	Tu as voulu voir les beautés ravissantes de ce Poëme divin, travesties à la Françoise.	2	3	15	0	0.0	[]
7	Quelle gloire	2	4	2	0	0.0	[]
8	pour ma Nation etamp	2	5	4	0	0.0	[]
9	;	2	6	0	0	0	[]
10	pour ma Langue, de servir d'interpréte aux nobles amusement aux-quels ta grande âme se livre dans ces jardins délicieux, où tu brilles au milieu d'une foule de Graces, comme l'Astre, emblême de cet Empire, entre les célestes flambeaux!	2	7	42	4	0.09523809523809523	[['noble'], ['grand'], ['délicieux'], ['céleste']]
11	Je ne sais, Souveraine de tant de Nations, si j'aurai dignement retracé les charmantes peintures de cet excellent Original.	3	0	20	0	0.0	[]
12	Mais que TA HAUTESSE daigne agréer l'encens que les faibles étincelles de mon génie te brûlent sur cet autel, puisque tu veux etamp;	4	0	24	2	0.08333333333333333	[['ton'], ['faible']]
13	permets que les prémices de ce trésor précieux, ignoré depuis tant de siècles, te saient offerts par celui qui a eu le bonheur d'en faire la découverte.	4	1	28	0	0.0	[]
14	Ici, suprême Aseki, * me prosternant humblement, je baise le seuil de la sublime Porte qui dérobe à nos faibles regards la lumière trop vive de tes éblouissans appas.	5	0	29	3	0.10344827586206896	[['sublime'], ['faible'], ['vif']]
15	LETTRE A LA MÊME Sur la vie et les Ouvrages de Pilpai, avec les Avantures du Traducteur.	6	0	17	0	0.0	[]
16	TU m'	7	0	2	0	0.0	[]
17	ordonnes, Magnifique Sultane, de répondre, sans préambule d'ennuyeux compliment, à toutes les questions que tu me fais faire par ton Kislar-Aga, * j'obéis.	7	1	26	2	0.07692307692307693	[['magnifique'], ['ton']]
18	J'etois à Dehli † au service de ThamasKouliKhan, lorsqu'il s'empara de cette riche Capitale, où bientôt une émeute imprévue, ou suscitée à dessein, fournit à ce cruel usurpateur le prétexte d'assouvir la soif du sang etamp;	8	0	40	2	0.05	[['riche'], ['fournir']]
19	de l'or qui le brûlait.	8	1	6	0	0.0	[]
20	Je n'eus heureusement aucun ordre qui m'obligeât à prendre part à la sanglante etamp;	8	2	16	0	0.0	[]
21	barbare exécution	8	3	2	0	0.0	[]
22	qui ravagea cette malheureuse Ville;	8	4	5	0	0.0	[]
23	mais je me trouvai du nombre de ceux qui furent commandés pour enlever les trésors etamp;	8	5	16	0	0.0	[]
24	les meubles précieux de la Couronne.	8	6	6	0	0.0	[]
25	Moins empressé à ce pillage, qu'à considérer la magnificence des appartements du Monarque Mogol, ma curiosité me conduisit dans une sale où était renfermée sa bibliothèque, etamp;	8	7	28	1	0.03571428571428571	[['sale']]
26	dès l'instant je méprisai tout le reste.	8	8	8	0	0.0	[]
27	Je savais la langue du Pays, etamp;	9	0	7	0	0.0	[]
28	mon goût pour l'étude m'aurait fait donner tout l'or de l'Inde pour ces richesses de l'âme.	9	1	21	0	0.0	[]
29	Je parcourais à la hâte les titres de quelques livres;	9	2	10	0	0.0	[]
30	mais je fus bientôt interrompu par une foule de pillards, qui, les dépouillant brutalement de leurs couvertures en broderie, n'en firent qu'un monceau de lambeaux.	9	3	27	0	0.0	[]
31	Je ramassois quelques-uns de ces précieux débris;	9	4	7	0	0.0	[]
32	j'aurois souhaité que mes forces eussent pu suffire pour les emporter tous: je m'attachai à ceux qui me paraissaient les plus curieux;	9	5	24	0	0.0	[]
33	mais incertain du choix, j'en prenais un que je rejettois, puis un autre que j'abandonnois encore.	9	6	18	0	0.0	[]
34	Mes avides compagnons se moquaient de moi, quand l'un d'eux ayant découvert une armoire secrète, en tira une boite d'or massif, garnie de pierreries.	9	7	27	2	0.07407407407407407	[['avide'], ['de', 'or']]
35	Il l'ouvre, etamp;	9	8	4	0	0.0	[]
36	y trouva, au milieu de quantité d'aromates dont le parfum se répandit dans la sale, des tablettes à l'Indienne manuscrites en lettres d'or.	9	9	26	1	0.038461538461538464	[['sale']]
37	J'étais proche de lui: Docteur, me dit-il d'un ton railleur, je ne me pique pas même de savoir lire l'inscription des Roupies d'or, * explique-moi le titre de ce livre, je le crois de conséquence.	9	10	41	2	0.04878048780487805	[['ton'], ['de', 'or']]
38	Y ayant donc jeté les yeux, j'aperçu cette étiquette, ou plutôt cet éloge mis en forme de frontispice: Ouvrage merveilleux de l'incomparable Pilpai, la perle des Philosophes de l'Indostan etamp;	9	11	33	1	0.030303030303030304	[['oeil']]
39	de toute la terre.	9	12	4	0	0.0	[]
40	Plus bas était écrit:	10	0	4	1	0.25	[['bas']]
41	Ce livre contient des vérités qui ne sont pas bonnes à dire à tout le monde;	10	1	16	0	0.0	[]
42	que les Sages ne prodiguent pas aux stupides; que les Rois estiment, mais qu'ils n'écoutent pas volontiers: il n'y a qu'une âme intrépide qui se fasse gloire de les tirer de l'obscurité.	10	2	37	1	0.02702702702702703	[['stupide']]
43	Ceci fait ton éloge, Sublime Sultane, puisque tu aimes tant la lecture de ces vérités.	11	0	15	2	0.13333333333333333	[['ton'], ['sublime']]
44	Au nom de Philosophe Indien, mon soldat furieux jeta les tablettes par terre, en s'écriant: Quoi!	12	0	17	1	0.058823529411764705	[['furieux']]
45	traiter avec tant de respect les Ecrits de ce chien d'Idolâtre!	12	1	12	0	0.0	[]
46	cet honneur n'appartient qu'à ceux de notre divin Prophéte.	12	2	11	0	0.0	[]
47	A ces mots il me quitta, etamp;	12	3	7	0	0.0	[]
48	me laissa ce que je n'aurois pas changé contre sa boite.	12	4	12	0	0.0	[]
49	Je connaissais la réputation etamp;	13	0	5	0	0.0	[]
50	le mérite de ce célèbre Poëte.	13	1	6	0	0.0	[]
51	Ses Ouvrages ont été traduits presque'en toutes langues;	13	2	9	0	0.0	[]
52	ce sont de sages leçons de l'art de régner que ce prudent Ministre Philosophe Gymnosophiste donne à son Roi Dabschelin.	13	3	21	0	0.0	[]
53	Pour rendre ces instructions agréables, il en a fait des fables ou dialogues entre animaux de différente espèce.	13	4	18	1	0.05555555555555555	[['agréable']]
54	On donne à ce livre, etamp;	13	5	6	0	0.0	[]
55	, par conséquent, à son Auteur, deux mille ans d'antiquité, d'autres le font plus moderne.	13	6	16	0	0.0	[]
56	Je ne m'arrêterai point ici à discuter ce point.	13	7	10	0	0.0	[]
57	Je poursuis mon récit.	14	0	4	0	0.0	[]
58	Je me retirai dans ma tente avec mon précieux butin pour le contempler à loisir.	14	1	15	0	0.0	[]
59	Je me flattais de posséder l'original de ces fables si recherchées.	14	2	12	0	0.0	[]
60	A peine l'eus-je ouvert, que je reconnus que ce n'était point cela, etamp;	14	3	16	0	0.0	[]
61	bientôt je me trouvai plus riche que je ne croyais.	14	4	10	1	0.1	[['riche']]
62	Une dissertation sur le véritable titre de ce livre, m'apprit que c'était un autre Poëme de Pilpai qui n'avait point encore été rendu public.	14	5	27	0	0.0	[]
63	Voici	14	6	1	0	0.0	[]
64	ce qu'elle contenait: „	14	7	5	0	0.0	[]
65	Le Naufrage des Isles flottantes est „le véritable Homaioun-Nameh, ou „ Livre auguste, autrement Giavidan-„Khird, „ Khird, c'est à-dire, la Sapience de „ tous les temps: c'est le règne, le triomphe de la vérité, toujours une, toujours constante, toujours lumineuse „malgré les efforts de l'erreur etamp;	14	8	52	0	0.0	[]
66	des „préjugés pour l'obscurcir;	14	9	6	0	0.0	[]
67	c'est l'écueil contre lequel l'instabilité, l'incertitude des fausses vertus, l'apparence fantastique des chimères que „révèrent les mortels, séduits par le „mensonge, viennent rompre les fragiles fondemens de leur tyrannie.	14	10	36	1	0.027777777777777776	[['faux']]
68	Ici „	14	11	2	0	0.0	[]
69	Pilpai ne fait point parler de vils animaux, mais la vérité etamp;	14	12	12	0	0.0	[]
70	la nature „elles mêmes: il personifie, par une „ingénieuse allégorie, ces fidèles interprétes de la Divinité;	14	13	18	0	0.0	[]
71	il les fait „présider au bonheur d'un vaste Em-„pire;	14	14	11	1	0.09090909090909091	[['vaste']]
72	par elles il dirige les mœurs etamp;	14	15	7	0	0.0	[]
73	„les actions des Peuples qui l'habitent, etamp;	14	16	9	0	0.0	[]
74	du Héros qui les gouverne;	14	17	5	0	0.0	[]
75	„il leur oppose, sous diverses emblêmes, les vices conjurés contre elles, „mais artisans de leur propre destruction.	14	18	19	0	0.0	[]
76	Le Glossateur ajoutait que Dabschelin allant, comme il en avait été averti en songe, pour prendre possession du trésor que Huschanck, un de ses ancêtres, lui avait laissé, trouva dans une caverne, avec quantité de richesses, des préceptes que Pilpai lui expliqua d'abord par des fables;	15	0	47	0	0.0	[]
