sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	PRÉFACE DE L'AUTEUR Voici, mon très cher ouvrage, Tout ce qui t'arrivera :	0	0	14	0	0.0	[]
1	Tu ne vaux rien, c'est dommage :	0	1	7	0	0.0	[]
2	N'importe, on t'achètera.	0	2	5	0	0.0	[]
3	Plus d'une femme t'aura, Jusqu'au bout avec courage, Lira : La plus catin (c'est l'usage), Au feu te condamnera ;	1	0	24	0	0.0	[]
4	Mais la plus sage...	1	1	4	0	0.0	[]
5	Rira.	2	0	1	0	0.0	[]
6	PREMIÈRE PARTIE	3	0	2	0	0.0	[]
7	CHAPITRE PREMIER	3	1	2	0	0.0	[]
8	Échantillon de la pièce.	3	2	4	0	0.0	[]
9	Quoi c'est tout de bon, me disait, il y a quelque temps, un de mes anciens favoris, vous écrivez vos aventures et vous vous proposez de les publier---Hélas, oui, mon cher : cela m'a pris tout d'un coup comme bien d'autres vertiges, et vous savez que je ne m'amuse guère à me contrarier.	4	0	58	0	0.0	[]
10	Il faut tout dire, je ne me prive jamais de choses qui me font plaisir.---Vous en avez donc beaucoup à composer votre roman ?	4	1	23	0	0.0	[]
11	---Beaucoup : je vais passer et repasser mes folies en parade, avec la satisfaction d'un nouveau colonel qui fait défiler son régiment un jour de revue ;	4	2	26	0	0.0	[]
12	ou, si vous voulez, d'un vieil avare qui compte et pèse les espèces d'un remboursement dont il vient de donner quittance.---C'est beaucoup dire, mais, entre nous, quel est votre but en écrivant ?	4	3	35	2	0.05714285714285714	[['vieux'], ['peser']]
13	---De m'amuser.---Et de scandaliser l'univers	4	4	7	0	0.0	[]
14	---Les gens trop susceptibles n'auront qu'à ne pas me lire.---Ils y seront forcés, car votre petite vie...	4	5	19	1	0.05263157894736842	[['petit']]
15	---Courage, monsieur, dites-moi des injures...	4	6	6	0	0.0	[]
16	Mais vous avez beau me blâmer, je veux griffonner, et si vous me mettez de mauvaise humeur...---Oh oh des menaces Et que ferez-vous ?	4	7	25	1	0.04	[['beau']]
17	---Un petit présent ;	4	8	3	1	0.3333333333333333	[['petit']]
18	c'est à vous que je dédierai mon livre, à vous ; bien entendu qu'il y aura au frontispice, en toutes lettres, votre nom et vos qualités.---Le tout serait noir...	4	9	30	0	0.0	[]
19	Mais je me rétracte, belle Félicia.	4	10	6	1	0.16666666666666666	[['bel']]
20	Oui, j'avais tort.	4	11	4	0	0.0	[]
21	Il est bien maladroit à moi de n'avoir pas senti d'abord toute l'utilité d'un ouvrage tel que celui dont vous vous occupez.---À la bonne heure, présentement je suis contente de vous.---Et puis-je me flatter que voudrez bien le dédier à quelque autre ?	4	12	47	0	0.0	[]
22	...	4	13	0	0	0	[]
23	Sa frayeur était amusante : il me vint une idée qui me fit rire de bon cœur.	5	0	16	0	0.0	[]
24	Le rire est contagieux pour tout le monde : les larmes le sont pour les femmes en particulier ;	5	1	17	0	0.0	[]
25	mon marquis (c'en était un) rit donc avec moi sans savoir encore à quoi je devais mes joyeuses convulsions ;	5	2	20	0	0.0	[]
26	il fallut ensuite le lui apprendre.---Je pensais, lui dis-je, que si j'étais dans le cas d'user de ressources, pour ne pas manquer de... vous m'entendez ?	5	3	29	0	0.0	[]
27	il y aurait moyen de rançonner tous les hommes de ma connaissance, en les menaçant, comme vous, d'une dédicace.	5	4	20	0	0.0	[]
28	Pour en être à l'abri, l'un serait taxé à dix corvées, l'autre à vingt, tel à plus, tel à moins, selon mon caprice ou les facultés de chacun.	5	5	31	0	0.0	[]
29	Ce serait, comme tout à l'heure avec vous, à qui ne serait pas le mécène de mon ouvrage.	5	6	19	0	0.0	[]
30	Hein Vous sentez où cela va ?	5	7	6	0	0.0	[]
31	Qu'en pensez-vous ?	5	8	4	0	0.0	[]
32	Ne ferais-je pas une belle récolte ?	5	9	7	1	0.14285714285714285	[['bel']]
33	---La spéculation est admirable.	5	10	4	0	0.0	[]
34	Les pauvres gens Je vous connais, vous ne manquerez pas d'exécuter l'heureux projet dont votre imagination vient d'accoucher.	5	11	21	0	0.0	[]
35	Nous serons tous rançonnés.---En serez-vous fâché, marquis ?	5	12	8	0	0.0	[]
36	---Bien au contraire, et pour vous le prouver, je vais me racheter sur-le-champ...	5	13	13	0	0.0	[]
37	Il le fit.---Mais, lui dis-je ensuite, ne voyez-vous pas, mon cher, que pour que mon idée bizarre pût me devenir bonne à quelque chose, il faudrait que je ne fusse plus ni jeune ni belle, car maintenant, Dieu merci, je n'en suis pas encore à prendre les gens au collet.---Il s'en faut tout.---Eh bien donc si j'étais vieille et laide, ceux à qui je serais dans le cas de dédier auraient aussi vieilli, et je n'aurais plus à tirer que sur des infirmes la plupart insolvables.---En effet, et à qui dédierez-vous donc ?	5	14	99	2	0.020202020202020204	[['bel'], ['vieux']]
38	---À la galante jeunesse, aux amateurs des folies dont vous me connaissez l'amour ; et je recevrai tous les hommages de reconnaissance qu'on voudra bien m'offrir.---De mieux en mieux.	5	15	31	0	0.0	[]
39	Voilà ce qui s'appelle aller au solide.	5	16	8	0	0.0	[]
40	Dans ce cas, je retiens un exemplaire, et vous allez trouver bon que je dépose un acompte du prix de ma souscription.	5	17	22	0	0.0	[]
41	Il le fit.	5	18	3	0	0.0	[]
42	Combien d'auteurs envieront mon sort on me paie d'avance, et les pauvres diables ont, les trois quarts du temps, bien de la peine à retirer quelque faible rétribution de leurs ouvrages, après y avoir mis la dernière main.	6	0	40	1	0.025	[['faible']]
43	CHAPITRE II	7	0	2	0	0.0	[]
44	Qui dit beaucoup en peu de mots.	7	1	7	0	0.0	[]
45	Les romans ont coutume de débuter par les portraits de leurs héros.	8	0	12	0	0.0	[]
46	Comme, malgré la sincérité avec laquelle je me propose d'écrire, ceci ne laissera pas d'avoir l'air d'un roman, je me conforme à l'usage et vais donner aux lecteurs une idée de ma personne.	8	1	38	0	0.0	[]
47	Trop modeste pour dire de moi-même un bien infini, je laisse parler à ma place ceux qui me connaissent, qui m'adorent et ne cessent de me louer.	9	0	29	0	0.0	[]
48	Tous s'accordent à me juger la plus belle et la plus jolie femme de mon siècle.	9	1	17	2	0.11764705882352941	[['bel'], ['joli']]
49	Cependant il peut y avoir de la prévention de leur part ;	9	2	11	0	0.0	[]
50	je consens d'égaler, mais je ne veux surpasser personne.	9	3	10	0	0.0	[]
51	Au reste, il est prouvé que des traits aussi réguliers que les miens et aussi gracieux en même temps, sont la chose du monde la plus rare ;	9	4	27	1	0.037037037037037035	[['gracieux']]
52	que j'ai seule la taille svelte d'une belle Anglaise, toutes les grâces d'une jolie Française, le maintien noble d'une princesse espagnole et les allures agaçantes d'une beauté de Florence ou de Naples.	9	5	37	6	0.16216216216216217	[['taille'], ['svelte'], ['bel'], ['maintien'], ['noble'], ['espagnol']]
53	On sait que mes yeux grands et noirs ont un charme puissant qui enivre d'amour les hommes les plus froids et captive les plus volages.	9	6	26	5	0.19230769230769232	[['oeil'], ['grand'], ['noir'], ['puissant'], ['froid']]
54	On connaît mes cheveux, uniques pour la longueur, la couleur et la quantité ;	9	7	13	2	0.15384615384615385	[['cheveux'], ['couleur']]
55	mon teint, ma fraîcheur ne se décrivent pas.	9	8	8	2	0.25	[['teint'], ['fraîcheur']]
56	On admire mes dents, qui sont du plus bel émail, merveilleusement rangées ;	9	9	12	2	0.16666666666666666	[['dent'], ['bel']]
57	mais on redoute leurs morsures incurables.	9	10	6	0	0.0	[]
58	Les connaisseurs les plus difficiles prétendent que c'est tout au plus si la robuste Jeanne, de belliqueuse et chaste mémoire, avait la gorge aussi ferme que moi, et si la tendre Sorel l'avait aussi blanche ;	9	11	37	2	0.05405405405405406	[['gorge'], ['tendre']]
59	tout le reste à proportion tout au moins.	9	12	8	0	0.0	[]
60	Cependant je ne pense pas à m'enorgueillir de ces rares avantages, simples effets d'un hasard heureux.	9	13	18	1	0.05555555555555555	[['rare']]
61	Je serai peut-être fondée à tirer plus de vanité de beaucoup d'autres perfections que je ne dois qu'à moi-même.	9	14	22	0	0.0	[]
62	Par exemple, je peins très bien, je joue de plusieurs instruments, je chante à ravir, je danse comme une grâce, je monte à cheval à étonner et je manque rarement une perdrix au vol.	9	15	34	1	0.029411764705882353	[['joue']]
63	Mais est-ce encore à ces talents que je dois mon bonheur ?	9	16	12	0	0.0	[]
64	... Il en est un dans lequel la nature perfectionnée par l'art...	9	17	12	0	0.0	[]
65	Chut j'allais presque dire une sottise.	9	18	7	0	0.0	[]
66	CHAPITRE III	10	0	2	0	0.0	[]
67	Préliminaires indispensables.	10	1	2	0	0.0	[]
68	Vénus naquit de l'écume des flots : moi, qui ressemble beaucoup à cette déesse par les charmes et les inclinations, je suis aussi née en plein océan, mais mes premiers instants ne furent point un triomphe.	11	0	36	1	0.027777777777777776	[['plein']]
69	Ma mère accoucha de moi sur un monceau de morts et de mourants, parmi les horreurs d'un combat naval.	11	1	20	0	0.0	[]
70	Nous devînmes la proie d'un vainqueur qui, dès que nous eûmes pris terre en France, m'arracha du sein maternel, pour me livrer à l'infortune dans l'une de ces maisons cruellement charitables où l'on reçoit les fruits anonymes de l'amour.	11	2	45	1	0.022222222222222223	[['sein']]
71	Il importe peu de savoir le nom du lieu qui vit élever mon enfance ;	11	3	14	0	0.0	[]
72	je fais même grâce de douze années pires que le néant, pendant lesquelles je reçus une éducation superstitieuse, qui par bonheur n'altéra point le bon sens dont la nature m'avait fait don.	11	4	34	1	0.029411764705882353	[['pendant']]
73	Ennui perpétuel, dépendance humiliante, travail grossier, auquel ma délicatesse ne s'accoutumait point ;	11	5	13	0	0.0	[]
74	telles étaient alors mes disgrâces.	11	6	5	0	0.0	[]
75	Cependant j'embellissais à vue d'œil, en dépit d'un séjour malsain et d'une très mauvaise nourriture.	11	7	19	0	0.0	[]
76	Quoique naturellement inaccessible à la mélancolie, je commençais néanmoins à trouver cette existence insupportable, lorsque l'événement le plus heureux me procura tout à coup la liberté.	12	0	27	0	0.0	[]
77	Voici comment :	12	1	2	0	0.0	[]
