sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	DAÏRA.	0	0	1	0	0.0	[]
1	HISTOIRE ORIENTALE.	1	0	2	0	0.0	[]
2	PREMIERE PARTIE	2	0	2	0	0.0	[]
3	.	2	1	0	0	0	[]
4	SI je voulais rappeler ici la fatale année de ma vie, où je me suis vu réduit à quitter pour jamais mes amis, ma famille, ma chère patrie, pour me retirer dans les déserts;	3	0	34	0	0.0	[]
5	il faudrait mettre au jour les perfidies que j'ai essuyées, de la part de ceux même qui auraient dû m'en préserver: il faudrait développer les intrigues secrets, les manœuvres impies, par lesquelles une femme a pu parvenir à renverser un homme d'honneur.	3	1	45	0	0.0	[]
6	Mais je suis le même homme toujours, etamp;	3	2	8	0	0.0	[]
7	s'il a plu au Ciel de terminer la vie de cette femme criminelle, je ne la regarde plus sur la terre que comme la pincée de poussière que je serre en mes doigts.	3	3	34	0	0.0	[]
8	Je lui pardonne, Dieu m'en est témoin, je lui pardonne tous les maux, tous les tourments qu'elle m'a causés: je ne veux pas même étendre ce sentiment plus loin, de peur qu'il ne s'y répandît malgré moi quelques lumières sur des événement déjà connus, dont on a toujours profondément ignoré les causes, etamp;	3	4	58	0	0.0	[]
9	qui peut-être exciteraient à les rechercher, etamp;	3	5	7	0	0.0	[]
10	guideraient pour y atteindre;	3	6	4	0	0.0	[]
11	etamp;	3	7	1	0	0.0	[]
12	comme la découverte ne pourrait qu'en être odieuse, il est plus sage d'enterrer dans d'éternelles ténèbres des forfaits jusqu'à ce jour ignorés, que de les mettre en évidence aux yeux des hommes, d'autant qu'il n'en résulterait qu'un amas de scandales, qui bien-loin de suffire à punir, etamp;	3	8	55	1	0.01818181818181818	[['oeil']]
13	à confondre le vice, ne serviraient qu'à effrayer l'innocence etamp;	3	9	12	0	0.0	[]
14	la vertu.	3	10	2	0	0.0	[]
15	Je préviens donc que, si j'employé le loisir que je trouve dans ma retraite à rassembler les choses qu'on va lire, ce n'est que parce qu'elles n'ont aucun rapport avec moi;	4	0	36	0	0.0	[]
16	je préviens que rien ne m'est plus étranger que toute l'Histoire que je vais écrire, etamp;	4	1	18	0	0.0	[]
17	je crois qu'en la lisant, on jugera que j'ai bien pu me résoudre à la raconter par l'extrême intérêt que j'ai dû y prendre, etamp; que peut-être on y prendra: car j'avoue qu'elle m'a moi	4	2	42	0	0.0	[]
18	-même frappé par des traits si bisarres etamp;	4	3	8	0	0.0	[]
19	si tristes, etamp;	4	4	3	1	0.3333333333333333	[['triste']]
20	tout à la fois si tendres etamp;	4	5	7	1	0.14285714285714285	[['tendre']]
21	si touchant, que j'en suis demeuré presque'aveuglé sur mes propres disgracies, etamp; qu'un moyen sûr (s'il en est un) de les effacer de mon esprit, ce sera de me représenter souvent le tableau de toutes celles que cette Histoire contient: il me convaincra du moins, que lors de ma plus cruelle adversité, lorsque du sein de ma douleur, je levois les mains au Ciel contre l'iniquité qui m'accablait, il pouvait y avoir des personnes sur la terre assez malheureuses, pour implorer un sort tel que le mien, pour le regarder comme un terme à leurs espérances;	4	6	102	2	0.0196078431372549	[['sein'], ['main']]
22	etamp;	4	7	1	0	0.0	[]
23	voici par quelles routes l'invariable destinée m'a conduit pour m'en instruire, dans le séjour que j'habite aujourd'hui.	4	8	21	0	0.0	[]
24	Lorsque je pris la résolution de sortir de France, je fus quelque temps à me contrarier moi même sur le choix d'une retraite: mon premier dessein fut de passer en Angleterre;	5	0	32	0	0.0	[]
25	le goût des sciences, l'esprit de raison, le droit des gens, tout m'y appelait;	5	1	16	1	0.0625	[['droit']]
26	mais l'âpreté de son climat m'épouvanta, etamp;	5	2	9	0	0.0	[]
27	m'obligea de lui préférer les Pays méridionaux, où l'on peut dire aussi que les hommes arrivés comme moi au déclin de leurs jours, se félicitent etamp;	5	3	28	0	0.0	[]
28	se trouvent heureux de participer aux influences d'un ciel pur, de jouir de cet astre toujours radieux sur leurs têtes, de sentir que son éclat etamp;	5	4	27	2	0.07407407407407407	[['pur'], ['tête']]
29	ses feux conservent dans leurs corps débiles une vie encore active etamp;	5	5	12	2	0.16666666666666666	[['corps'], ['débile']]
30	dégagée, qui ne pourrait être que languissante etamp;	5	6	8	1	0.125	[['dégager']]
31	chancelante ailleurs.	5	7	2	0	0.0	[]
32	Ce fut dans ces pensées que je pris la route de Marseille; mais sans être absolument déterminé sur le choix du Pais où je pourrais ensuite passer pour y faire mon établissement.	5	8	32	0	0.0	[]
33	J'arrivai dans cette Ville, etamp;	5	9	6	0	0.0	[]
34	j'y demeurai quelques jours dans une irrésolution qui fut toujours la même: car mon esprit mélancolique aimait à s'y arrêter, etamp;	5	10	23	1	0.043478260869565216	[['mélancolique']]
35	ne rassemblait des projets que pour les détruire, que pour se plaire dans la liberté de choisir.	5	11	17	0	0.0	[]
36	Je parcourais le Port de Marseille;	5	12	6	1	0.16666666666666666	[['port']]
37	je voyais partir etamp;	5	13	4	0	0.0	[]
38	arriver à toute heure des vaisseaux de toutes Nations;	5	14	9	0	0.0	[]
39	j'étais tenté de m'embarquer successivement sur l'un etamp;	5	15	11	0	0.0	[]
40	sur l'autre.	5	16	3	0	0.0	[]
41	Le premier que je vis sous voile, était de la côte d'Italie, etamp;	5	17	14	0	0.0	[]
42	la pensée me vint d'abord de m'y abandonner, etamp;	5	18	11	0	0.0	[]
43	d'aller dans quelqu'Isle déserte, consommer en paix le reste de ma vie; mais je craignis d'y trouver des hommes pervers, etamp;	5	19	24	0	0.0	[]
44	je ne cherchais pas des hommes superstitieux.	5	20	7	0	0.0	[]
45	On m'ouvrit peu après la route de l'Espagne;	5	21	10	0	0.0	[]
46	on m'indiqua une barque qui devait incessamment se rendre à Séville;	5	22	12	0	0.0	[]
47	mais quand je me représentai les mœurs de ce Pays, la dureté des hommes qui l'habitent pour les autres Nations, je me retins de même.	5	23	26	0	0.0	[]
48	Enfin, me rappellent l'hospitalité qui s'exerce chez les Musulmans, ayant d'ailleurs assez de connaissance des Langues Orientales, je pris le dessein de passer au Levant, etamp;	6	0	29	0	0.0	[]
49	heureusement, peu de jours après un vaisseau se présenta sous mes yeux, qu'on équipait etamp;	6	1	16	1	0.0625	[['oeil']]
50	qu'on mettait en état de faire voile pour l'Isle de Cypre.	6	2	13	0	0.0	[]
51	Je ne balançai plus, je me déterminai à me transporter dans cette Isle, d'autant qu'on me confirma ce que dit la renommée de sa beauté, de l'excellence de son terroir, etamp;	6	3	34	0	0.0	[]
52	de la douceur de ses habitants.	6	4	6	0	0.0	[]
53	Je partis sur ce vaisseau: c'était une Tartanne legere qu'un vent frais mit bien tôt hors du port, etamp;	7	0	21	2	0.09523809523809523	[['frais'], ['port']]
54	de suite au large.	7	1	4	0	0.0	[]
55	Il est vrai qu'à mesure que la terre diminuait à mes yeux, mon cœur s'attendrissait, comme l'enfant qu'on enlève à sa nourrice, etamp;	7	2	27	2	0.07407407407407407	[['oeil'], ['attendrir']]
56	qu'on voit les bras ouverts, etamp;	7	3	7	1	0.14285714285714285	[['bras']]
57	les yeux en larmes, demander par ses cris, qu'on le remette sur son sein.	7	4	15	1	0.06666666666666667	[['oeil']]
58	Cette terre enfin disparut, etamp;	7	5	5	0	0.0	[]
59	en peu d'heures les eaux bornerent tout l'horizon.	7	6	10	0	0.0	[]
60	Notre navigation fut heureuse, nous arrivâmes en vingt jours au port de Famagouste;	7	7	13	1	0.07692307692307693	[['port']]
61	j'y appris qu'à douze milles de-là était la résidence du Consul François, que le lieu s'appelait Singrani;	7	8	20	0	0.0	[]
62	je m'y rendis, je demeurai quelques jours en sa maison, la plus belle de toute l'Isle.	7	9	18	1	0.05555555555555555	[['bel']]
63	Je lui fis part du projet que j'avais formé de m'y établir, etamp;	7	10	15	0	0.0	[]
64	d'y achever le cours de ma vie: il m'approuva fort, etamp;	7	11	13	1	0.07692307692307693	[['fort']]
65	prit la peine de m'instruire à fond des usages etamp;	7	12	11	0	0.0	[]
66	des mœurs du pays.	7	13	4	0	0.0	[]
67	Cette Isle renferme aujourd'hui fort peu d'habitants;	7	14	8	1	0.125	[['fort']]
68	etamp;	7	15	1	0	0.0	[]
69	il s'y trouve plusieurs belles Maisons de Campagne, dont on connaît les propriétaires à peine, parce qu'elles sont presque'à l'abandon.	7	16	24	1	0.041666666666666664	[['beau']]
70	Le Consul me fit faire l'acquisition d'une à trois milles de la sienne, que j'aurois trouvée pour moi trop belle etamp;	7	17	24	1	0.041666666666666664	[['bel']]
71	trop spacieuse en tout autre pays, etamp;	7	18	7	0	0.0	[]
72	dont le prix cependant n'excédait pas quatre cens piastres.	7	19	10	0	0.0	[]
73	Elle est située à peu de distance de cette chaîne de montagnes, qui semblent partager l'Isle en deux contrées;	7	20	20	0	0.0	[]
74	ces Montagnes la mettent à couvert des ardeurs du Midi.	7	21	10	0	0.0	[]
75	Un vaste jardin l'environne;	7	22	5	1	0.2	[['vaste']]
76	j'y cueille incessamment toutes les fleurs de l'Europe;	7	23	10	0	0.0	[]
77	je les vois avec plaisir mêlées parmi beaucoup d'autres que l'Europe, la France du moins ne connaît pas.	7	24	20	0	0.0	[]
78	Il est vrai que le défaut de culture est cause que toute la terre est couverte de plantes etamp;	7	25	19	0	0.0	[]
79	de racines odorantes, qui semblent se nuire par la multitude etamp;	7	26	11	0	0.0	[]
80	la confusion;	7	27	2	0	0.0	[]
81	mais il est vrai aussi qu'elles exhalent une variété de parfums si grande, que tout ce que j'y respire porte à mon cœur un sentiment de plaisir: j'avouerai même que ce baume de l'air, aussi doux pour moi qu'étranger, est ma jouissance etamp;	7	28	48	1	0.020833333333333332	[['grand']]
82	ma volupté de chaque jour.	7	29	5	0	0.0	[]
83	Derriere cette maison était autrefois un Parc qui s'étendait jusqu'au pied de la Montagne;	7	30	16	1	0.0625	[['pied']]
84	mais les murs s'étant détruits, ce Parc est devenu un terrain sans bornes qui communique à tout;	7	31	18	0	0.0	[]
85	ce n'est plus qu'une friche immense, où tous les germes se jouent etamp;	7	32	15	0	0.0	[]
86	fructifient en désordre, où l'Oranger, le Grenadier se confondent parmi les Oliviers, les Platanes etamp;	7	33	16	0	0.0	[]
87	les Cédres;	7	34	2	0	0.0	[]
88	ce n'est plus qu'un bois sauvage difficile à pénétrer.	7	35	11	0	0.0	[]
89	Tel est le séjour simple etamp;	8	0	6	0	0.0	[]
90	rustique où je résolus, en entrant dans l'Isle, de me retirer pour toute ma vie, pour y jouir en paix, à l'abri des hommes, d'un ciel toujours serein, d'une terre toujours féconde, qui m'offrait dès-lors ses dons confus à pleines mains, etamp;	8	1	48	1	0.020833333333333332	[['main']]
91	qui, depuis que je la cultive, devient docile d'un jour à l'autre, déjà s'assujettit à mes goûts, etamp;	8	2	21	0	0.0	[]
92	bien-tôt, si je le veux, ne produira plus qu'avec ordre des fruits de mon choix.	8	3	16	0	0.0	[]
93	Cette maison était alors occupée par une famille Grecque nombreuse: c'était un père, une mère etamp;	9	0	17	0	0.0	[]
94	plusieurs enfants;	9	1	2	0	0.0	[]
95	il était question de les déposséder, mais lorsque je connus leur peu de fortune, etamp;	9	2	15	0	0.0	[]
96	que je fus témoin des vertus etamp;	9	3	7	0	0.0	[]
97	des mœurs qui unissaient cette famille, j'en fus si touché, que je crus au contraire devoir m'en rendre le chef etamp;	9	4	23	1	0.043478260869565216	[['chef']]
98	le patron, ce que je fis;	9	5	6	0	0.0	[]
99	mon intérêt d'ailleurs aurait bien pu m'y porter, je me trouvais seul transplanté, occupé des premiers soins d'un établissement, dans une région toute inconnne, toute étrangère, où il m'eût fallu chercher des domestiques, acheter des esclaves, d'une nation plus inconnue, etamp;	9	6	46	0	0.0	[]
100	plus étrangère encore; c'eût été pour moi des embarras sans fin;	9	7	12	0	0.0	[]
101	au lieu que dès le moment, je me considerai parmi ces saintes gens, reçu, secouru etamp;	9	8	16	0	0.0	[]
102	servi comme un bon Maître, bien cher etamp;	9	9	8	0	0.0	[]
103	bien aimé, qu'elles auraient attendu etamp;	9	10	7	0	0.0	[]
104	désiré long temps.	9	11	3	1	0.3333333333333333	[['long']]
105	On croira bien qu'en cet état, les premiers jours qui s'écoulèrent, firent en moi l'effet d'une renaissance nouvelle, etamp;	10	0	23	0	0.0	[]
106	que je parcourais ces riches campagnes avec des yeux aussi étonnés, que si j'eusse été porté dans quelque monde reproduit, habité par l'innocence, où les hommes ainsi que la terre, se seraient offerts à moi, au lendemain de leur création;	10	1	42	2	0.047619047619047616	[['riche'], ['oeil']]
107	etamp;	10	2	1	0	0.0	[]
108	comme toutes mes promenades étaient autant de découvertes curieuses etamp;	10	3	10	0	0.0	[]
109	flatteuses, je me plaisais à les prolonger toujours davantage aux environs de ma retraite.	10	4	14	0	0.0	[]
110	Un jour enfin je m'éloignai de quelque milles, etamp;	11	0	10	0	0.0	[]
111	pris brusquement le dessein de traverser les bois de l'ancien Parc, pour arriver jusqu'à la Montagne voisine;	11	1	19	0	0.0	[]
112	j'y aperçu des routes, je les suivis: ces routes me conduisirent à d'autres;	11	2	15	0	0.0	[]
113	mais je marchai fort long-temps en vain;	11	3	8	2	0.25	[['fort'], ['long']]
114	le jour s'écoula, etamp;	11	4	5	0	0.0	[]
115	je fus contraint de revenir sur mes pas;	11	5	8	0	0.0	[]
116	je m'appliquai à rechercher les chemins que j'avais suivis;	11	6	11	0	0.0	[]
117	je crus les reprendre, mais bien-tôt l'obscurité me les fit méconnaître, etamp;	11	7	13	0	0.0	[]
118	en peu de moment je tombai dans de profondes ténèbres;	11	8	10	0	0.0	[]
119	j'en ressentis une soudaine frayeur;	11	9	6	0	0.0	[]
120	elle augmenta d'un moment à l'autre, etamp;	11	10	9	0	0.0	[]
121	peu à peu fut suivie de cruelles inquiétudes, etamp;	11	11	9	0	0.0	[]
122	de je ne sais quels noirs pressentiment.	11	12	7	1	0.14285714285714285	[['noir']]
123	Etranger!	11	13	1	0	0.0	[]
124	seul! dans ces bois immenses, égaré, en pleine nuit, conduisant mon cheval Arabe, assez mal dompté, d'une fausse route dans une autre, parmi des broussailles si fortes etamp;	11	14	29	2	0.06896551724137931	[['faux'], ['fort']]
125	si épaisses, que quelquefois j'étais forcé de retourner sur mes pas, sans savoir ni pouvoir imaginer quelle serait la fin de cette journée.	11	15	24	1	0.041666666666666664	[['fin']]
126	Je marchais ainsi de tous côtés, agité, irrésolu, déplorant déjà cette aventure, attendant qu'il plût à Dieu de me prêter secours, ou que le jour revint, pour éclairer ces tristes bois.	11	16	32	2	0.0625	[['agité'], ['triste']]
127	Mon cheval tout-à-coup fit un écart;	12	0	6	0	0.0	[]
128	je le pressai, il recula;	12	1	5	0	0.0	[]
129	j'imaginai que c'était l'approche de quelque bête féroce ou vénimeuse qui lui causait cette épouvante;	12	2	18	0	0.0	[]
130	je m'emportai d'un ton de colère, comme un homme seul, qui se trouble dans une violente situation.	12	3	19	1	0.05263157894736842	[['ton']]
131	Mais alors, etamp;	12	4	3	0	0.0	[]
132	ce même saisissement me revient encore quand j'en parle, je fus frappé des sons d'une voix mourante, etamp;	12	5	20	1	0.05	[['voix']]
133	voici les paroles	12	6	3	0	0.0	[]
134	Arabes que j'entendis ....	12	7	4	0	0.0	[]
135	Qui que tu sois, détourne	13	0	5	0	0.0	[]
136	-	13	1	0	0	0	[]
137	toi	13	2	1	0	0.0	[]
138	...	13	3	0	0	0	[]
139	etamp;	14	0	1	0	0.0	[]
140	laisse-moi mourir.	14	1	3	0	0.0	[]
141	J'avouerai que je n'eus jamais un effroi semblable.	15	0	10	0	0.0	[]
142	Il vint d'abord à ma pensée qu'un homme venait d'être assassiné par des Brigands.	15	1	17	0	0.0	[]
143	Ah! malheureux, m'écriai-je, qui que tu sois toi-même, je ne dois point t'abandonner ainsi, me voilà prêt à te donner secours.	15	2	25	0	0.0	[]
144	En effet, à l'instant je descends de mon cheval, j'accroche sa bride à une branche d'arbre, je vais à lui, etamp;	15	3	24	0	0.0	[]
145	je m'en approche.	15	4	4	0	0.0	[]
146	La nuit était si profonde que je l'entrevoyois à peine;	15	5	11	0	0.0	[]
147	je le trouvai tout étendu, tout ensanglanté;	15	6	7	0	0.0	[]
148	mais ce qui me fit une horreur dont je tressaillis encore, c'est qu'en posant ma main sur son corps presque sans vie, je la sentis d'abord toute mouillée de son sang: je voulus connaître sa blessure, je la trouvai cette blessure, les cheveux m'en dressent à la tête, le poignard y était; etamp;	15	7	57	3	0.05263157894736842	[['main'], ['corps'], ['tête']]
149	ce qui me parut inconcevable, c'est qu'il eut la force de poser la main sur ce poignard, pour m'empêcher de le retirer, etamp;	15	8	26	1	0.038461538461538464	[['main']]
150	que je me coupai la main moi	15	9	7	1	0.14285714285714285	[['main']]
151	-même pour l'arracher de la sienne.	15	10	7	0	0.0	[]
152	Que fais tu, me disait-il, laisse-moi mourir, le Ciel le veut, tout m'y condamne, laisse-moi répandre le reste de mon sang.	15	11	25	1	0.04	[['mourir']]
153	Malheureux, m'écriai-je de toutes mes forces, quelle est la Furie infernale qui vous a fait concevoir ce barbare dessein?	15	12	21	0	0.0	[]
154	Quoi!	15	13	1	0	0.0	[]
155	c'est vous qui avez attenté sur vous?	15	14	8	0	0.0	[]
156	Quoi! l'honneur?	15	15	3	0	0.0	[]
157	quoi!	15	16	1	0	0.0	[]
158	la nature même vous abandonnent à ce point?	15	17	8	0	0.0	[]
159	Je lui fis ces reproches;	15	18	5	0	0.0	[]
160	mais il ne m'écoutait point, etamp;	15	19	7	0	0.0	[]
161	je revins à moi tout-à-coup, pour le ramener par des sentiment plus doux;	15	20	13	0	0.0	[]
162	je lui parlai, comme j'aurois fait à un ami.	15	21	10	1	0.1	[['luire']]
163	En effet, son déplorable sort m'intéressait déjà si vivement, que je me sentais du penchant pour lui, comme si je l'eusse depuis long-temps connu.	15	22	27	1	0.037037037037037035	[['long']]
