sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	LIVRE 1 Dans le commerce du monde, chacun a les yeux ouverts sur les vices et sur les ridicules d' autrui.	0	0	21	1	0.047619047619047616	[['oeil']]
1	Est-ce un sujet de reproche pour l' humanité?	0	1	9	0	0.0	[]
2	Non, suivant mes plus saines lumières, si de bonne foi, c' est-à-dire, avec la mêmejustice et la même attention, chacun ouvrait aussi les yeux sur les siens, on trouverait dans la comparaison et la balance des uns et des autres, non-seulement de fortes raisons pour supporter l' imperfection dans autrui, mais souvent des secours et des règles, pour se corriger et se perfectionner soi-même.	0	2	65	2	0.03076923076923077	[['oeil'], ['fort']]
3	Je pousse plus loin cette philosophie.	0	3	6	0	0.0	[]
4	J' accuse les hommes de s' arrêter aux dehors, dans la maligne recherche qu' ils font des ridicules et des vices, et de ne pas pénétrer jusqu' à la source du mal, qui réside ordinairement dans le cœur.	0	4	38	1	0.02631578947368421	[['pénétrer']]
5	Il me semble qu' avec la règle d' équité que j' impose, c' est-à-dire, en pénétrant d' aussi bonne foi dans les replis de leur propre cœur, ils auraient incomparablement plus d' avantage à tirer de ces intimes observations, que de leurs censures extérieures et superficielles.	0	5	46	1	0.021739130434782608	[['pénétrer']]
6	Mais pénétrer dans le cœur, qui passe pour impénétrable!	0	6	9	1	0.1111111111111111	[['pénétrer']]
7	Oui;	0	7	1	0	0.0	[]
8	si malgré le préjugé commun, des routes secrètes, ménagées par la nature, en ouvrent l' accès à ceux qui peuvent les découvrir.	0	8	22	0	0.0	[]
9	Je les ai cherchées pendant quarante ans, et j' abandonne au lecteur le jugement de mes découvertes.	0	9	17	1	0.058823529411764705	[['pendant']]
10	Cyrano s' est promené dans le monde lunaire;	0	10	8	0	0.0	[]
11	Kirker dans le monde souterrain;	0	11	5	0	0.0	[]
12	Daniel dans le monde de Descartes;	0	12	6	0	0.0	[]
13	Beker dans un monde enchanté: et moi, j' aipris pour objet de mes courses et de mes observations, le monde moral;	0	13	21	0	0.0	[]
14	carrière aussi vaste, moins imaginaire, plus riche, plus variée, plus intéressante, et sans comparaison plus utile.	0	14	16	2	0.125	[['vaste'], ['riche']]
15	Après cet exorde, des récits tels que les miens demandent une autre espèce de préparation;	0	15	15	0	0.0	[]
16	celle qui captive l' esprit dans les rets imperceptibles de la vraisemblance, et qui donne, aux ouvrages d' imagination, des charmes qu' ils ne peuvent avoir sans cet heureux coloris.	0	16	30	0	0.0	[]
17	L' art, qui sait les en revêtir, doit être une vraie magie, pour opérer des effets, contre lesquels il ne craint pas de mettre un lecteur en garde, en osant les annoncer.	0	17	32	0	0.0	[]
18	Il a néanmoins ses principes naturels, qui, bien approfondis, sont peu différents de ceux de l' architecture, de la perspective et de la peinture.	0	18	24	1	0.041666666666666664	[['naturel']]
19	Mais c' est de les exercer, qu' il est ici question: d' autres circonstances les feront rentrer dans mon dessein, et me ramèneront peut-être à les expliquer.	0	19	27	1	0.037037037037037035	[['rentrer']]
