sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	CHAPITRE PREMIER.	0	0	2	0	0.0	[]
1	Tremblement de terre, éclipse de soleil, comète.	1	0	7	0	0.0	[]
2	L'an du monde quatre cent soixanteneuf mille neuf cent quatre-vingt-quatre , sept mois, sept jours, sept heures , trois minutes, trois secondes, trois tierces, il se fit un grand tremblement de terre, que tous les peuples en général regardèrent comme un présage de quelque grand événement qui les intéressait, et dont chaque peuple en particulier fit l'application à sa manière;	2	0	60	2	0.03333333333333333	[['grand'], ['grand']]
3	ainsi qu'il s'est toujours pratiqué.	2	1	7	0	0.0	[]
4	Les Paquans, nation jadis fameuse dans l'histoire, et dont plusieurs individus sont encore répandus chez les nations modernes, quoiqu'aujourd'hui l'on ignore d'où ils sont ve Tc RUS, allès yent aussi-tôt consulter un oracle qui prédisait à merveille et intelligiblement les choses passées, et annonçait les futures avec une inintelligibilité qui leur assurait la croyance et le respect d'un peuple éclairé.	3	0	66	0	0.0	[]
5	Il savait également révéler à dessein des projets, dont une manifestation extraordinaire importait aux auteurs , pour en obtenir un succès heureux.	3	1	21	0	0.0	[]
6	La réponse de l'oracle fut, comme la vie des financiers, courte et bonne.	3	2	14	1	0.07142857142857142	[['court']]
7	Naissance pélérinage , peu de chose , rien: voilà les seules paroles qu'on put lui arracher.	4	0	15	0	0.0	[]
8	Les jeunes femmes et les filles crum sent que le premier point les concernait.	5	0	14	0	0.0	[]
9	Elles vaquèrent de bon cœur à ce qui, dans neuf mois de-là, devait donner des naissances à foison.	5	1	18	0	0.0	[]
10	Les vieilles, qui n'auraient pas été écoutées, si la fantaisie leur fût venue de remplir le même devoir, se chargèrent du second point;	5	2	24	1	0.041666666666666664	[['vieux']]
11	et l'on abandonna les deux autres au cours des événements.	5	3	11	0	0.0	[]
12	Plus tard on verra si l'oracle fut compris.	5	4	9	0	0.0	[]
13	Le collège pontifical ne manqua pas d'observer que le tremblement de terre était en effet arrivé exprès, pour annoncer un grand événement aux Paquans.	6	0	25	1	0.04	[['grand']]
14	Ils se trouvaient alors les seuls qui fussent précisément dans l'an quatre cent soixante-neuf mille neuf cent quatre-vingt-quatre, sept mois, sept jours, sept heures, trois minutes, trois secondes et trois tierces.	6	1	32	0	0.0	[]
15	Les prêtres firent judicieusement remarquer que ces derniers nombres sept et trois, répétés chacun trois fois, annonçaient possiblement les desseins de Dieu sur le peuple paquant, qui aima mieux en croire les prêtres que de vérifier si le tremblement de terre avait commencé aux minutes, secondes et tierces indiquées : vérification d'ailleurs assez difficile à faire, dans un temps où l'on n'avait point de pendules, et où toute que ces la gnomonique se réduisait à mesurer l'ombre des tours avec des perches à houblon.	6	2	87	0	0.0	[]
16	Au reste, les Paquans avaient la réputation d'être, de tous les peuples de la terre, celui qui sût le plus exactement quelle heure il était, sans se tromper jamais d'un iota Pour en revenir aux nombres sept et trois, on fit attention aussi nombres étaient de ceux que l'on appelait sacrés , et pour lesquels la nature a une juste prédilection : témoins les sept planètes, les sept jours de la semaine , les trois hypostases de la Divinité, les trois règnes et l'axiome omne trinum perfectum .	6	3	88	0	0.0	[]
17	Quelque temps après le tremblement de terre, il se fit une éclipse de soleil, dans la pleine lune, suivant les premières tables astronomiques du pays, gravées seulement dans les têtes des Paquans, et dans la nouvelle lune selon d'autres tables castigatae editio• nis .	7	0	44	1	0.022727272727272728	[['tête']]
18	Si cette éclipse fut totale ou partielle, c'est ce qu'il nous importe peu de savoir : il suffira, peut-être, de dire qu'il fit très-noir, et que l'obscurité du temps se joignant à celle des esprits, il n'en résulta rien de trop clair.	7	1	47	2	0.0425531914893617	[['noir'], ['joindre']]
19	On eut encore recours à l'oracle, qui donna la même réponse, naissance , péléri- , nage , peu de chose , rien .	7	2	19	0	0.0	[]
20	Voilà donc de nouveau les jeunes femmes et les filles qui se font montrer à l'envi.	7	3	17	0	0.0	[]
21	la feuille à l'envers ; et les vieilles qui courent les chapelles et les pagodes du Paquantois; mais le tout par pure dévotion, et pour obéir à l'oracle scrupuleusement.	7	4	30	2	0.06666666666666667	[['vieux'], ['pur']]
22	Il était écrit chez le destin , dans un livre inextricable , que cette année présagerait à la terre les événements les plus surprenant.	8	0	22	0	0.0	[]
23	A peine les Paquans avaient consulté le ciel sur l'éclipse de soleil;	8	1	13	0	0.0	[]
24	à peine les Paquar:tes étaient de retour, les jeunes du bosquet, les vieilles de la pagode, qu'il apparut une comète, dont la quere menaçante était tournée vers la capi Sur un autel de fer un livre inextricable Contient de l'avenir l'histoire irrévocable, Henriade , ch, VII.	8	2	49	2	0.04081632653061224	[['vieux'], ['de', 'fer']]
25	que, tale du Paouantois	9	0	4	0	0.0	[]
26	.	9	1	0	0	0	[]
27	C'était bien là lo cas de recourir à l'oracle; mais la consternation, que cette comète avait jetée dans tout l'empire, fesait craindre une réponse qui n'apprit que des malheurs.	9	2	33	0	0.0	[]
28	On alla premièrement consulter les astronomes, dont l'opinion la plus claire fut si le soleil ne fesait pas son déjenner de cette comète, elle ferait de nous son souper .	9	3	30	1	0.03333333333333333	[['clair']]
29	Les Paquans, peu sensibles à l'honneur de servir de potage à une étoile à queue; sortirent assez mécontent de l'opinion des astronomes, qu'ils n'ont plus consultés deos puis.	9	4	32	0	0.0	[]
30	Enfin ils retournèrent à l'oracle, qui leur répondit;	9	5	9	0	0.0	[]
31	naissance , péleri nage , peu de chose , rien .	9	6	7	0	0.0	[]
32	Les jeunes femmes et les filles avaient toujours bien la volonté d'obéir à l'ordre céleste, comme les premières fois;	10	0	21	1	0.047619047619047616	[['céleste']]
33	mais du côté des hommes, il fallait autre chose que de la bonne volonté, et cette autre chose se trouvait épuisée par les deux réponses précédentes.	10	1	26	0	0.0	[]
34	Les vieilles avaient, d'ailleurs, gagné des calus, des durillons, des empoules et des cors aux pieds, en fesant leurs pélerinages.	10	2	21	2	0.09523809523809523	[['vieux'], ['pied']]
35	Soit donc que la piété se fut refroidie, ce qui est fort naturel;	11	0	13	1	0.07692307692307693	[['fort']]
36	soit que la nation devint plus éclairée, ce qui est plus naturel encore ;	11	1	13	1	0.07692307692307693	[['naturel']]
37	on laissa tout uniment au temps le soin d'accomplir ce que l'oracle avait prédit.	11	2	16	0	0.0	[]
38	Il y eut même de ces gens qui font les entendus, qui dirent hautement que l'oracle n'avait pas le sens commun;	11	3	23	0	0.0	[]
39	qu'il était indigne du ciel de débiter de tels fagots, et que, selon toute apparence, les tremblemens de terre, les éclipses do soleil et les étoiles à querie, n'entraient pas plus pour quelque chose dans les affaires du peuple paquant, que les çioissans de la lune ne figurent les çor.	11	4	52	1	0.019230769230769232	[['do']]
40	pes des maris.	11	5	3	0	0.0	[]
41	Dans un instant cette opinion prévalut.	11	6	6	0	0.0	[]
42	Le peuple, toujours extrême dans ce qu'il fait, voulait d'abord jeter l oracle à l'eau, et mettre tous les prêtres en hachis.	11	7	25	0	0.0	[]
43	Quelques personnes plus prudentes lui firent entendre avec peine, qu'un hachis de prêtres serait un ragoût détestable, et qu'un oracle dans la rivière serait une viande trop creuse pour des brochets, quoique des hommes eussent eu s'en contenter; que de plus, à cet égard, il valait mieux attendre tout de la raison et du temps.	11	8	58	1	0.017241379310344827	[['creux']]
44	Tout rentra dans l'ordre.	12	0	5	1	0.2	[['rentrer']]
45	Les hommes oublièrent les événements physiques et les sots oracles	12	1	10	0	0.0	[]
46	-les jeunes femmes et les filles attendirent, plus ou moins patiemment, que l'autre chose se joignît chez les hommes à la bonne volonté ;	12	2	24	1	0.041666666666666664	[['joindre']]
47	les vieilles allèrent se couper les cors aux pieds.	12	3	9	1	0.1111111111111111	[['vieux']]
48	Au reste, voilà le peuple trompé, il adore ceux qui le trompent;	12	4	12	0	0.0	[]
49	détrompé, il les massacre.	12	5	4	0	0.0	[]
50	Avis à plus d'un lecteur, CHAPITRE II.	12	6	8	0	0.0	[]
51	Grossesse et désirs de la reine des Pequans;	13	0	8	0	0.0	[]
52	assemblée des matrones et des devins;	13	1	6	0	0.0	[]
53	triomphe des prétres.	13	2	3	0	0.0	[]
54	Ex ce temps la reine des Paquans devint enceinte des œuvres du roi, son mari.	14	0	15	0	0.0	[]
55	La chronique scandaleuse de la cour laissa à douter, s'il avait été aidé dans ses opérations génératrices, ou s'il les avait conduites seul heureusement à leur fin.	14	1	29	0	0.0	[]
56	C'était une bonne pâte de roi, un de ces bons humains dont on ne parle plus.	14	2	17	0	0.0	[]
57	Aussi l'histoire ne nous a transmis ni son nom, ni celui de la 'reine sa femme, qui , soit dit en passant et sans offenser son âme débonnaire, menait un peu par le nez son royal époux.	14	3	37	2	0.05405405405405406	[['nez'], ['royal']]
58	Bonne ou non, la voilà toujours enceinte , et peu importe au fond des œuvres de qui elle le soit.	14	4	19	0	0.0	[]
59	Elle aimait ses aises, et se les procurait.	14	5	8	0	0.0	[]
60	Alors, chez les Paquans, on disait d'une femme, au bonheur de laquelle il ne manquait rien, qu'elle était heureuse comme une reine.	14	6	24	0	0.0	[]
61	Cette exprèssion a, dans la suite, un peu perdue de sa justesse.	14	7	12	0	0.0	[]
62	Mais a-t-on jamais pu dire avec raison , heureux comme un roi .	14	8	13	0	0.0	[]
63	Ordinairement les femmes ont dans leurs grossesses, des caprices et des fantaisies;	15	0	12	0	0.0	[]
64	la reine des Paquans était très femme de ce côté-là.	15	1	11	0	0.0	[]
65	Son premier désir fut d'avoir le grand éléphant blanc de Siam.	15	2	12	2	0.16666666666666666	[['grand'], ['blanc']]
66	Le roi, son mari, eut bear	15	3	6	0	0.0	[]
67	Ini	15	4	1	0	0.0	[]
68	représenter qu'il y avait trop loin du Paqnantois aux indes, et que le grand éléphant blanc étant un animal sacré, il n'y avait aucun espoir que les prêtres le laissassent jamais aller hors du pays.	15	5	37	2	0.05405405405405406	[['grand'], ['blanc']]
69	La reine, sa femme insista, et le bon roi, qui ne voulait pas que sa progéniture vint au monde avec un nez en trompe d'éléphant, envoya des ambassadeurs à Siamn pour demander le grand éléphant blanc.	15	6	37	2	0.05405405405405406	[['nez'], ['grand']]
70	Les ambassadeurs n'étaient pas encore hors du royaume, lorsqu'on vint dire au roi des Paquans que la reine sa femme ne voulait plus avoir le grand éléphant blanc, et qu'elle se sentait attaquée de vapeurs hystériques et spasa modiques dès qu'on lui en parlait;	16	0	48	2	0.041666666666666664	[['grand'], ['blanc']]
71	mais qu'elle mourait d'envie de voir le bœuf Apis, et qu'il fallait au plus vite enyoyer à Memphis le chercher.	16	1	23	1	0.043478260869565216	[['mourir']]
72	Quoique	16	2	1	0	0.0	[]
73	ce nouveau désir de madame la reine contrariat un peu le roi son mari, néanmoins, comme il était né bon diable, il en passa partout où l'on voulut.	16	3	29	0	0.0	[]
74	Il fit courir après les ambassadeurs partis pour les indes, en leur envoyant l'ordre de se rendre en hâte à Memphis.	16	4	22	0	0.0	[]
75	Car, après tout, il valait mieux faire demander le bœuf Apis, que de voir un jour l'héritier présomptif de la couronne coëffé comme un taureau.	16	5	26	0	0.0	[]
76	Toutefois les courtisans observèrent que cette coeffure n'était pas fort étrangère dans les cours;	16	6	15	1	0.06666666666666667	[['fort']]
77	que même dans certaines cours, il serait ridicule à un mari de paraître coëffé autrement.	16	7	15	0	0.0	[]
78	Le roi trouva qu'ils avaient raison, et n'en persista pas moins dans la résolution de satisfaire les désirs de la reine sa femme.	16	8	25	0	0.0	[]
79	Mais il en fut du bœuf Apis comme du grand éléphant blanc : la reine y renonça, par bonheur pour les ambassadeurs ;	16	9	21	2	0.09523809523809523	[['grand'], ['blanc']]
80	car le peuple de Memphis, prévenu de leur mission, formait déjà le projet de les écharper.	16	10	16	0	0.0	[]
81	La reine désira ainsi successivement le chien Anubis, le serpent Python, l'âne de Balaam et le bouc Hazazel.	16	11	19	0	0.0	[]
82	Enfin, le dernier désir de la reine, et le plus raisonnable , fut de passer seulement une petite demie heure, au clair de la lune, sous un berceau de myrthes et d'orangers, avec un officier des gardes, jeune homme, grand, bien fait, d'une figure noble;	17	0	46	4	0.08695652173913043	[['petit'], ['clair'], ['grand'], ['figure']]
83	lequel joignait tous les avantages de l'esprit aux grâces du corps.	17	1	12	1	0.08333333333333333	[['joindre']]
84	Malgré la sage complaisance du roi, il pouvait très-bien arriver, qu'il ne prît pas à l'accomplissement de ce désir, tout l'intérêt et toute la part qu'il avait semblé prendre à celui des désirs précédent.	17	2	39	0	0.0	[]
85	En effet, tous les frais de ceux-ci tombaient, avec justice, sur le trésor de l'état, tandis que le front du roi en personne aurait supporté la plus grande partie des frais du dernier désir.	17	3	36	4	0.1111111111111111	[['frais'], ['front'], ['grand'], ['frais']]
86	Quelquefois aussi on est peu jaloux d'avoir un enfant avec un nez en trompe d'éléphant, des cornes de taureaui, des oreilles de chien, une langue de serpent, un corps de baudet et des pieds de chèvre ;	17	4	38	3	0.07894736842105263	[['nez'], ['corps'], ['pied']]
87	mais on n'est jamais fàché qu'il soit grand, bien fait, d'une figure noble avec tous les agrément de l'esprit.	17	5	23	3	0.13043478260869565	[['grand'], ['figure'], ['noble']]
88	Voilà pourtant ce qui arrivait, si le roi ne condescendait pas au dernier désir de la reine sa femme.	17	6	19	0	0.0	[]
89	Au reste on ne sait pas trop si elle satisfit ce désir ou non : il est simplement de fait que , s'il eut des suites, elle ne s'en vanta pas, ni l'officier, qui était un homme d'honneur.	17	7	40	0	0.0	[]
90	La paix conjugale n'en fut pas altérée;	17	8	8	0	0.0	[]
91	et plût au ciel! que toutes les femmes se contentassent, une seule fois dans leur vie, de passer une petite demie heure, tête à tète, avec un joli cavalier.	17	9	29	3	0.10344827586206896	[['petit'], ['tête'], ['joli']]
92	Combien de maris conclueraient avec leurs femmes ce marché avec plaisir !	17	10	11	0	0.0	[]
93	Quoique la reine des Paquans approchât du terme de sa grossesse, le roi, son mari, n'y pouvait plus tenir d'impatience de savoir, si l'enfant dont elle accoucherait, serait mâle ou femelle, et s'il naîtrait sous une heureuse constellation.	18	0	42	1	0.023809523809523808	[['mâle']]
