sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	Chapitre I.	0	0	2	0	0.0	[]
1	De l'enfant qui bande	1	0	5	0	0.0	[]
2	Je suis né dans un village près de Reims et je me nomme Cupidonnet.	1	1	14	0	0.0	[]
3	Dès mon enfance, j'aimais les jolies filles ;	1	2	8	0	0.0	[]
4	j'avais surtout un faible pour les jolis pieds et les jolies chaussures, en quoi je ressemblais au Grand Dauphin, fils de Louis XIV, et à Thévenard, acteur de l'Opéra.	1	3	31	4	0.12903225806451613	[['faible'], ['joli'], ['pied'], ['grand']]
5	La première fille qui me fit bander fut une jolie paysanne qui me portait à vêpres, la main posée à nu sur mes fesses ;	2	0	24	2	0.08333333333333333	[['main'], ['nu']]
6	elle me chatouillait les couillettes, et me sentant bander, elle me baisait sur la bouche avec un emportement virginal, car elle était chaude parce qu'elle était sage.	2	1	28	2	0.07142857142857142	[['bouche'], ['virginal']]
7	La première fille à laquelle je fis des attouchements, en conséquence de mon goût pour une jolie chaussure, fut ma première puînée, qui s'appelait Jenovefette.	3	0	26	0	0.0	[]
8	J'avais huit sœurs, cinq aînées d'un premier lit, et trois puînées.	3	1	13	0	0.0	[]
9	La seconde de celles-là était jolie au possible ;	3	2	9	1	0.1111111111111111	[['joli']]
10	il en sera question ;	3	3	4	0	0.0	[]
11	la quatrième avait le poil du bijou tellement soyeux que c'était une volupté seulement de le toucher.	3	4	18	1	0.05555555555555555	[['soyeux']]
12	Les autres étaient laides.	3	5	4	0	0.0	[]
13	Mes puînées étaient toutes trois provocantes.	3	6	6	0	0.0	[]
14	Or, ma mère préférait Jenovefette, la plus voluptueusement jolie, et dans un voyage qu'elle fit à Paris, elle lui apporta des souliers délicats.	4	0	24	1	0.041666666666666664	[['joli']]
15	Je les lui vis essayer, et j'eus une violente érection.	4	1	11	0	0.0	[]
16	Le lendemain, dimanche, Jenovefette mit des bas fins blancs et neufs de coton, un corset qui lui pinçait la taille, et avec son lubrique tour de cul elle faisait bander, quoique si jeune, mon père lui-même, car il dit à ma mère de la renvoyer.	4	2	45	6	0.13333333333333333	[['bas'], ['fin'], ['blanc'], ['pincer'], ['taille'], ['cul']]
17	(J'étais caché sous le lit pour mieux voir le soulier et le bas de la jambe de ma jolie cadette).	4	3	22	3	0.13636363636363635	[['bas'], ['jambe'], ['joli']]
18	Dès que ma sœur fut sortie, mon père renversa ma mère et la carillonna sur le pied du lit sous lequel j'étais, en lui disant : «	4	4	27	1	0.037037037037037035	[['pied']]
19	Oh ! prenez garde à votre fille chérie !	4	5	7	0	0.0	[]
20	Elle aura un furieux tempérament, je vous en avertis...	4	6	9	1	0.1111111111111111	[['furieux']]
21	Mais elle a de qui tenir, car je baise bien, et voilà que vous m'en donnez, du jus de con, comme une princesse...	4	7	24	1	0.041666666666666664	[['con']]
22	» Je m'aperçus que Jenovefette écoutait et voyait...	4	8	9	0	0.0	[]
23	Mon père avait raison ;	4	9	4	0	0.0	[]
24	ma jolie cadette fut depuis dépucelée par son confesseur, ensuite foutue par tout le monde, mais elle n'en est que plus sage à présent.	4	10	25	1	0.04	[['joli']]
25	Dans l'après-dînée, Jenovefette vint au jardin, où j'étais seul.	5	0	11	0	0.0	[]
26	Je l'admirai, je bandai.	5	1	5	0	0.0	[]
27	L'ayant abordée, je lui pressai la taille sans parler ;	5	2	10	2	0.2	[['presser'], ['taille']]
28	je lui touchai le pied, les cuisses, un con imberbe et joli s'il en fut jamais !	5	3	17	4	0.23529411764705882	[['luire'], ['pied'], ['con'], ['joli']]
29	Jenovefette ne disait mot ;	5	4	4	0	0.0	[]
30	alors, je la fis mettre à quatre, c'est-à-dire sur les mains et sur les genoux, et à l'imitation des chiens, je la voulais enfiler ainsi en hennequinant et saccadant de toutes mes forces, comme fait le chien, et lui comprimant fortement les aines de mes deux mains ;	5	5	51	2	0.0392156862745098	[['main'], ['genou']]
31	je lui faisais cambrer les reins, de sorte que son con était aussi à ma portée que le trou de son cul ;	5	6	22	4	0.18181818181818182	[['luire'], ['cambrer'], ['rein'], ['con']]
32	je l'atteignis donc et je mis le bout entre les lèvres, en disant :	5	7	14	1	0.07142857142857142	[['lèvre']]
33	« Hausse, hausse le cul, que j'entre !	5	8	8	1	0.125	[['cul']]
34	... » Mais on sent aussi qu'un connichon aussi jeune ne pouvait admettre un vit qui ne décalottait pas encore. (Il me fallait une conasse, comme je l'aurai bientôt).	5	9	32	0	0.0	[]
35	Je ne pus qu'entre'ouvrir un peu les lèvres de la fente.	5	10	13	1	0.07692307692307693	[['lèvre']]
36	Je ne déchargeai point, je n'étais pas assez formé...	5	11	10	0	0.0	[]
37	Ne pouvant enfiler, je me mis, aussi à l'imitation de mes modèles, à lécher le jeune con...	5	12	18	0	0.0	[]
38	Jenovefette sentit un chatouillement agréable sans doute, car elle ne s'ennuyait pas du jeu, et elle me donna cent baisers sur la bouche, lorsque je fus debout.	5	13	28	2	0.07142857142857142	[['agréable'], ['bouche']]
39	On l'appela et elle courut.	6	0	6	0	0.0	[]
40	Comme elle n'avait pas encore de gorge, dès le lendemain elle se mit des tétons postiches, sans doute parce qu'elle avait ouï vanter ceux de sa mère ou de ses aînées.	7	0	33	1	0.030303030303030304	[['gorge']]
41	Je les remarquai : je la fis chausser, et l'ayant placée commodément sur son lit, je m'escrimai près de deux heures.	7	1	22	0	0.0	[]
42	Je crois, en vérité, qu'elle émit, car elle s'agitait comme une petite enragée à mon lèchement de con...	7	2	20	1	0.05	[['petit']]
43	Dès le surlendemain, on l'envoya en apprentissage à Paris, où elle remplit l'horoscope tiré par mon père.	7	3	19	0	0.0	[]
44	Chapitre II.	8	0	2	0	0.0	[]
45	Du con soyeux Mes autres sœurs étaient l'une sérieuse, elle me retint dans les bornes, mais j'ai depuis foutu ses deux filles à Paris ;	9	0	26	2	0.07692307692307693	[['con'], ['soyeux']]
46	ma troisième était encore trop jeune ;	9	1	6	0	0.0	[]
47	ç'a été une superbe fille à dix-huit ans ;	9	2	9	1	0.1111111111111111	[['superbe']]
48	je me rejetai néanmoins sur cette enfant, lorsque je m'aperçus que Cathos, jumelle de Jenovefette, était inabordable.	9	3	18	0	0.0	[]
49	Il me fallait un con, depuis que j'en avais palpé un.	9	4	12	1	0.08333333333333333	[['con']]
50	Je patinai Babiche ;	9	5	3	0	0.0	[]
51	enfin, un dimanche qu'elle était bien arrangée et que ma mère l'avait baignée, je la gamahuchai.	9	6	18	0	0.0	[]
52	Ce fut à cette bénigne opération que je fus surpris par l'ardente Madeleine au con soyeux ;	10	0	17	1	0.058823529411764705	[['con']]
53	elle nous examina longtemps avant de nous troubler, et voyant que la petite avait du plaisir, elle fut tentée.	10	1	19	1	0.05263157894736842	[['petit']]
54	Elle parla.	11	0	2	0	0.0	[]
