sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	***PRÉFACE DE L'ÉDITEUR.	0	0	5	0	0.0	[]
1	**	0	1	1	0	0.0	[]
2	Pendant mon séjour à Lausanne, j'ai eu l'occasion d'y voir la Comtesse Pauliska, réfugiée Polonaise, célèbre par sa beauté et ses malheurs.	1	0	25	2	0.08	[['pendant'], ['polonais']]
3	Quelques fragment qu'elle me lut de ses mémoires piquèrent vivement ma curiosité : je la pressai de les publier.	1	1	19	0	0.0	[]
4	«	1	2	1	0	0.0	[]
5	Pourquoi dévoiler ces horreurs, me répondit cette femme intéressante ?	1	3	9	0	0.0	[]
6	Vous le voyez, tout ce que les romanciers modernes ont imaginé en spectres, en fantômes hideux, en perversité imaginaire, n'approche pas de la réalité funeste des événement dont j'ai été le jouet, et qui me font croire à la fatalité.	1	4	42	0	0.0	[]
7	Abus, ou plutôt crimes en tout, en morale, en amour, en amitié, dans les arts même ;	1	5	16	0	0.0	[]
8	voilà ce que j'ai vu dans tous les pays où l'infortune m'a conduite.	1	6	16	0	0.0	[]
9	Non, ne portons point le désespoir dans les cœurs vertueux et que l'amitié seule partage et adoucisse mes souvenirs... » Deux années de calme ont enfin rappelé la Comtesse Pauliska au bonheur et à la fortune.	1	7	37	1	0.02702702702702703	[['calme']]
10	Montrant par son exemple que la vertu, semblable à l'élément du feu toujours pur et inaltérable dans les fermentations terrestres, survit et brille d'un nouvel éclat dans les orages de la vie, elle a abjuré sa noire misanthropie et a consenti à ce que ses mémoires fussent publiés.	1	8	50	1	0.02	[['pur']]
11	Puissent les tableaux qu'ils présentent arrêter ces torrent de maximes perverses, de systèmes absurdes qui, en ridiculisant les plus nobles vertus,	2	0	22	1	0.045454545454545456	[['noble']]
12	en outrageant sur-tout l'amour naïf et l'heureuse innocence, ébranlent aujourd'hui chez presque tous les peuples les fondemens de la morale et de la société PAULISKA.	2	1	27	1	0.037037037037037035	[['naïf']]
13	R éunie à mes parents, à mes amis, entourée de respects et de soins, ne verrai-je point fuir les hommages, et une horreur involontaire succéder à la considération, quand on apprendra les épreuves terribles, les événements affreux dont j'ai été victime ?	3	0	43	0	0.0	[]
14	Mais le calme des jours heureux s'embellit encore par le souvenir de l'orage, et je me livre à ce doux sentiment.	3	1	23	2	0.08695652173913043	[['calme'], ['dou']]
15	Cependant, telle est la bizarrerie du sort une âme pure et forte, des principes sûrs, une sensibilité profonde, enfin ce qui constitue les bases de l'estime publique, tout fut l'instrument de mes malheurs.	3	2	35	2	0.05714285714285714	[['pur'], ['fort']]
16	Jouet des événement d'une révolution dont personne n'a pu calculer les suites, la connaissance du passé, les hypothèses sur l'avenir, la science des hommes, la morale éternelle, tout s'est trouvé en défaut, la force a subjugué la Pologne.	3	3	42	0	0.0	[]
17	Le succès a consacré l'injustice aux yeux du Russe enorgueilli, et le silence fut sa première loi.	3	4	18	1	0.05555555555555555	[['oeil']]
18	Trop malheureuse, trop énergique pour céder jamais à cette loi des lâches, cette loi érectrice des échafauds, je peins ici mes infortunes avec cette franchise, cette chaleur consolatrice que rien n'a pu éteindre et qui reçoit de mes larmes même une nouvelle activité, un nouveau besoin de s'étendre.	3	5	50	1	0.02	[['éteindre']]
19	Je ne retracerai point les désastres politiques, fruit de la guerre fatale qui a précédé le partage de notre patrie.	4	0	20	0	0.0	[]
20	Les femmes, êtres généreux et tendres, sont victimes des événement sans les approfondir, malheureuses sans se plaindre près des êtres qui leur sont chers, et courageuses sans orgueil dès que leur sensibilité est intéressée.	4	1	34	1	0.029411764705882353	[['tendre']]
21	Les crimes des Russes, l'humiliation du nom Polonais, voilà ce qui précipita nos phalanges guerrières ;	4	2	16	1	0.0625	[['polonais']]
22	le nombre et la tactique des ennemis, voilà les motifs de nos défaites ;	4	3	13	0	0.0	[]
23	le courage, la dignité de notre cause, voilà nos consolateurs dans l'adversité.	4	4	13	0	0.0	[]
24	Veuve à vingt-cinq ans, j'habitais la terre d'Alexiowits, à trois lieues de Cracovie.	5	0	15	0	0.0	[]
25	Lorsque la dernière diète des Magnats se tint à Passaw, une grande partie de la Pologne était conquise, les Russes inondaient le pays ;	5	1	23	1	0.043478260869565216	[['grand']]
26	envain le respect porté à notre nom en imposa un instant au général Suvarow ;	5	2	14	0	0.0	[]
27	bientôt nos possessions furent dévastées comme ayant appartenu à un Magnat Polonais.	5	3	12	0	0.0	[]
28	L'explosion devait être universelle, la vertu ou les torts, les bienfaits ou les griefs, devaient être confondus et une race entière sacrifiée.	5	4	23	0	0.0	[]
29	Le 20 juillet, nous dormions paisiblement au château.	6	0	8	0	0.0	[]
30	Ma société était composée du Chevalier de Morsall, Capitaine de vaisseau, vieillard respectable, blanchi par l'âge et ses courses maritimes, souffrant sans cesse d'infirmités et dissimulant ses douleurs avec une grâce, une gaîté, une bonté touchante, qui me portaient à le traiter comme un père.	6	1	47	1	0.02127659574468085	[['blanchir']]
31	J'avais près de moi Madame de Visbourg, ma tante, Chanoinesse de Prague, femme pieuse et adorée dans son chapitre comme dans ma terre ;	6	2	24	0	0.0	[]
32	le jeune Ernest Pradislas, Chevalier de Malthe, âgé de vingt-un ans, doué d'une douceur, d'un caractère et d'une figure bien faite pour justifier les sentiment qu'il m'inspira dans la suite.	6	3	35	1	0.02857142857142857	[['figure']]
33	Je passe sous silence quatre ou cinq êtres nuls, de bonne compagnie, mais dont je n'aurai point occasion de parler.	6	4	21	0	0.0	[]
34	Nous formions en tout neuf personnes, y compris mon fils, âgé de huit ans, être touchant par son affection précoce, par un courage, une force d'âme bien rare, cher enfant dont le souvenir m'arrachera sans cesse des larmes ... À deux heures, un bruit confus de voix se fit entendre dans le jardin ;	6	5	54	2	0.037037037037037035	[['rare'], ['voix']]
35	bientôt ma femme de chambre s'écria des mansardes que la grange était en feu, et qu'une foule de Russes armés s'avançait avec des brandons allumés : Mon fils dormait : je l'éveillai, je le serrai sur mon cœur en m'écriant : infortuné tu ne reverras plus la maison paternelle Je m'habillais à peine, que la grande porte est enfoncée, le vestibule rempli de soldats Russes, ivres de fureur et de vin ;	6	6	74	2	0.02702702702702703	[['grand'], ['enfoncer']]
36	je sors de mon appartement : quel spectacle, grand Dieu Le Chevalier de Morsall, traîné par ses cheveux blancs, luttant contre une foule d'assassins, le jeune Ernest, surpris, sans armes, presque nud, et terrassant tout ce qui l'approche.	6	7	39	3	0.07692307692307693	[['grand'], ['cheveux'], ['blanc']]
37	Il allait succomber dans cette lutte inégale ;	6	8	7	0	0.0	[]
38	on m'entourait, on m'arrachait mon fils, j'expirais... quand une femme, un ange, un Dieu vengeur s'élance de la grande salle, et munie d'un fusil de chasse, fait feu sur la horde infernale : deux de mes gens qui la suivaient firent feu également ;	6	9	47	1	0.02127659574468085	[['grand']]
39	la chute des meurtriers, la foudre sortant des mains de cette femme, tout contribua à précipiter les assassins hors de la maison.	6	10	22	1	0.045454545454545456	[['main']]
40	Madame de Visbourg ne borna pas là sa poursuite : suivie de mes gens fidèles, du jeune Ernest mis en liberté, elle chassa les assaillans jusques dans l'avenue, où interdits, effrayés, ils se dissipèrent comme les ténèbres devant les premiers rayons du jour.	6	11	43	0	0.0	[]
41	Qu'on juge de notre surprise, de notre ivresse sauvés par une amie, une femme ...	6	12	15	0	0.0	[]
42	Nos caresses, nos actions de grâces ne peuvent suffire à l'effusion de nos cœurs, nous tombons à genoux, et saisissant la croix qu'elle portait sur la poitrine, nous adressions au Ciel et à notre libératrice ces prières si senties, si ferventes au moment du danger, lorsque Madame de Visbourg, d'un air inspiré, nous tint à-peu-près ce discours : «	6	13	61	2	0.03278688524590164	[['genou'], ['poitrine']]
43	Vous ne m'accuserez point de fanatisme, mes chers enfants : ma vie privée, mes principes dans la société, vous ont assez prouvé qu'en croyant à un Dieu vengeur du crime, j'ai toujours regardé l'indulgence et la tolérance comme les premières vertus du christianisme ;	6	14	46	0	0.0	[]
44	mais la coupe des fléaux est versée sur notre malheureuse patrie, point de repos pour nous qu'en un sol étranger : fuyons Israël bientôt le courroux du Ciel apaisé, permettra, j'espère, d'y ramener la victoire, la paix et nos familles ».	6	15	43	0	0.0	[]
45	Je passe sous silence le reste d'un discours prononcé avec sérénité, sans passion ; mais avec une sorte d'enthousiasme prophétique, qui joint à la circonstance terrible d'où nous sortions, laissa en nous des impressions profondes.	6	16	37	2	0.05405405405405406	[['prononcer'], ['joindre']]
46	Notre départ fut résolu à l'instant, il devait être de six mois, grand Dieu quelle erreur ...	6	17	17	1	0.058823529411764705	[['grand']]
47	Il fut décidé que nous passerions en Hongrie, frontière la plus rapprochée.	6	18	12	0	0.0	[]
48	Les bruits répandus d'une nouvelle attaque sur mon habitation, les incendies propagés au loin, les progrès des Russes dévastateurs, tout accrut notre fermeté.	6	19	24	0	0.0	[]
49	Je passai la nuit du 21, à mettre ordre à mes affaires, autant que l'effroi général, le tumulte récent le permirent.	6	20	22	0	0.0	[]
50	Je me retirai avec ma société à la ferme de Vilna ;	6	21	11	0	0.0	[]
51	là, je fus dédommagée un instant par les services touchant, les véritables regrets d'une famille attachée depuis trois siècles à la maison paternelle.	6	22	24	0	0.0	[]
52	Pétrowna sur-tout,	7	0	2	0	0.0	[]
53	la pauvre Pétrowna ne voulait point me quitter, et ce ne fut que sur la promesse de la prendre à mon service en Italie, où je comptais me retirer, que je la décidai à attendre de mes nouvelles.	7	1	38	0	0.0	[]
54	Il s'agissait d'abord de nous travestir.	7	2	8	0	0.0	[]
55	Les postes placés sur la frontière dans un pays difficile, l'agitation répandue dans les villages, tout nous faisait une loi d'être méconnus et d'accélérer notre fuite.	7	3	29	0	0.0	[]
56	Je pris des vêtements rustiques ;	7	4	5	0	0.0	[]
57	j'en donnai de pareils à mon fils.	7	5	8	0	0.0	[]
58	On plaça un panier rempli de mes hardes les plus nécessaires sur l'âne de la ferme, on mit mon fils dans l'autre.	7	6	24	0	0.0	[]
59	Pour moi, chaussée de gros souliers, une baguette à la main, j'allais m'acheminer derrière ce fardeau si cher, le cœur navré, et tournant déjà des yeux pleins de larmes sur un sol adoré où je laissais la fortune, l'espérance et l'amour, lorsque je descendis dans mon cœur.	7	7	51	5	0.09803921568627451	[['gros'], ['main'], ['derrière'], ['oeil'], ['plein']]
60	C'est ici l'instant d'avouer que le jeune Pradislas y avait déjà fait une impression profonde.	7	8	18	0	0.0	[]
61	Je n'avais pu voir tant de grâces, de mérite, sans en être touchée.	7	9	14	0	0.0	[]
62	Libre, riche, aimante, j'étais décidée à m'unir à lui aussi	7	10	12	1	0.08333333333333333	[['riche']]
63	-tôt que la volonté ou la mort d'un oncle obstiné, lui aurait permis de quitter l'ordre de Malthe.	7	11	20	0	0.0	[]
64	Que de projets renversés que d'horreurs ont succédé aux plus douces illusions le Chevalier de Morsall devait nous rejoindre à Bude, en Hongrie : il y avait fait parvenir des fonds.	7	12	31	1	0.03225806451612903	[['douce']]
65	Mentor du jeune Ernest, il attendait que celui-ci eût reçu les derniers ordres de son père pour passer avec lui sur mes traces.	7	13	23	0	0.0	[]
66	Mais l'amour calcule-t-il ? Peut-il attendre ?	7	14	9	0	0.0	[]
67	Peut-il voir ce qu'il aime courir un danger qu'il ne partage pas, qu'il voudrait attirer sur lui seul ?	7	15	22	0	0.0	[]
68	Ernest me demanda un instant, un seul instant d'entretien ;	7	16	10	0	0.0	[]
69	pouvais-je le refuser, prête à m'en séparer ...	7	17	9	0	0.0	[]
70	Je passai dans la grange, le cœur ému, plein de mes seuls regrets.	7	18	13	2	0.15384615384615385	[['émouvoir'], ['plein']]
71	J'en atteste le Ciel, l'univers entier tout danger disparaissait devant un intérêt si cher... et quand je vis Ernest à mes pieds, ne pouvant proférer un mot, baisant la trace de mes pas qu'il allait perdre L'explosion mutuelle de notre sensibilité ne put se contenir, je le relevai, je pressai pour la première fois sa main sur mon cœur désolé qu'il possédait tout entier, et des sanglots furent notre seule explication.	7	19	76	3	0.039473684210526314	[['pied'], ['presser'], ['main']]
