sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	LETTRE 1 mardi, de Summerhill.	0	0	5	0	0.0	[]
1	c' est au grand trot de six forts chevaux, avec des relais bien disposés, l' air de l' empressement, que je vais très-vite, accompagnée de gens dont je me soucie peu, chez d' autres dont je ne me soucie point du tout.	1	0	43	2	0.046511627906976744	[['grand'], ['fort']]
2	J' abandonne mes amis les plus chers;	1	1	7	0	0.0	[]
3	je vous quitte, vous que j' aime si tendrement: eh!	1	2	10	0	0.0	[]
4	Pourquoi ce départ, cette hâte?	1	3	5	0	0.0	[]
5	Pourquoi me presser d' arriver où je ne désire point d' être?	1	4	12	1	0.08333333333333333	[['presser']]
6	Pour m' éloigner... de qui?	1	5	5	0	0.0	[]
7	... de Milord D' Offery... ah!	1	6	5	0	0.0	[]
8	Ma chère Henriette, qui m' eût dit que je l' éviterois un jour?	1	7	13	0	0.0	[]
9	N' est-ce pas le même objet dont la privation forcée a pensé me coûter la vie, qui pendant deux ans fut toujours présent à mon idée, que tout me retraçait, et que rien n' a pu me faire oublier?	1	8	40	1	0.025	[['pendant']]
10	Je fuis donc pour ne pas rencontrer ces yeux que j' ai cherchés avec tant de plaisir, où mon destin me semblait écrit, dont les regards réglaient autrefois tous les mouvements de mon âme.	1	9	34	2	0.058823529411764705	[['oeil'], ['regard']]
11	Etrange changement!	1	10	2	0	0.0	[]
12	Comment des effets si différents peuvent-ils provenir d' une même cause!	1	11	12	0	0.0	[]
13	Mon dieu, que j' ai été surprise de le voir!	1	12	10	0	0.0	[]
14	Que son air triste, que ce grand deuil m' a frappée! ...	1	13	12	2	0.16666666666666666	[['triste'], ['grand']]
15	qu' il était bien! Que sa femme a dû regretter la vie!	1	14	12	0	0.0	[]
16	Qu' en me retirant, j' ai eu de peine à ne pas tourner la tête!	1	15	15	0	0.0	[]
17	Dans quel état cette vue!	1	16	5	0	0.0	[]
18	... mais concevez-vous qu' il ait osé se présenter à ma porte, insister pour me voir, m' écrire, imaginer que j' ouvrirois ses lettres?	1	17	24	0	0.0	[]
19	... en vérité,cet homme est audacieux... eh!	1	18	7	0	0.0	[]
20	Ne le sont-ils pas tous?	1	19	6	0	0.0	[]
21	... n' en parlons plus: ah! N' en parlons jamais.	1	20	9	0	0.0	[]
22	Je suis encore étonnée de ma démarche.	1	21	7	0	0.0	[]
23	Je me dis à chaque instant que j' ai bien fait: je me le dis;	1	22	15	0	0.0	[]
24	mais je ne le sens pas assez.	1	23	7	0	0.0	[]
25	Je cherche des raisons de m' applaudir du parti que j' ai pris;	1	24	13	0	0.0	[]
26	j' en trouve, mais c' est dans ma fierté seulement.	1	25	10	0	0.0	[]
27	Ma chère, j' éprouve que le cœur ne goute pas ces faibles adoucissements dont l' amour-propre se fait des consolations.	1	26	21	1	0.047619047619047616	[['faible']]
28	Enfin, je suis partie;	1	27	4	0	0.0	[]
29	me voilà à cinquante milles de Londres, et je ne suis point morte ;	1	28	13	0	0.0	[]
30	assurez-en Milord Carlile.	1	29	4	0	0.0	[]
31	Malgré ses prédictions, je ne me suis point évanouie au pied du premier hêtre;	1	30	14	1	0.07142857142857142	[['pied']]
32	les grâces désolées ne m' ont point élevé ce joli tombeau dans lequel il me voyait déjà.	1	31	17	1	0.058823529411764705	[['joli']]
33	Dites	1	32	1	0	0.0	[]
34	-lui que je ne me repens point.	1	33	7	0	0.0	[]
35	Je puis faire violence à mes sentiments;	1	34	7	0	0.0	[]
36	je puis souffrir, mais je ne saurais me repentir.	1	35	9	0	0.0	[]
37	Adieu, mon aimable Henriette;	1	36	4	0	0.0	[]
38	quand vous lui aurez dit tout cela, dites-vous à vous-même, que personne ne vous aime autant que moi.	1	37	20	0	0.0	[]
39	LETTRE 2 mercredi, de chez Sir John Warthy.	2	0	8	0	0.0	[]
