sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	LETTRE 1 Paris, lundi 2 novembre 17.	0	0	7	0	0.0	[]
1	J' attendais votre réponse avec impatience;	0	1	6	0	0.0	[]
2	je pensais quelle m' annonceroit un heureux changement dans les dispositions de ce bon parent , qui montre tant de politesse et d' obstination , en s' efforçant de ruiner votre sœur.	0	2	30	0	0.0	[]
3	Je suis bien irritée contre lui, mon cher comte;	0	3	9	0	0.0	[]
4	cette désagréable discussion d' intérêt vous a fait passer l' automne en Bretagne, elle vous y retiendra peut-être tout l' hiver.	0	4	21	0	0.0	[]
5	Vous devez des conseils à votre sœur;	0	5	7	0	0.0	[]
6	des soins, des secours à vos neveux: le sacrifice de votre temps, de vos plaisirs est vraiment généreux, je l' approuve, mais je ne vous verrai point: je me le dis avec bien du regret, avec bien du chagrin,jamais je ne vous ai si vivement désiré;	0	6	47	0	0.0	[]
7	vous allez me demander pourquoi?	0	7	5	0	0.0	[]
8	Je l' ignore moi	0	8	4	0	0.0	[]
9	-	0	9	0	0	0	[]
10	même.	0	10	1	0	0.0	[]
11	Je suis sans affaires, sans embarras, au moins apparent;	0	11	9	0	0.0	[]
12	cependant vous me seriez nécessaire, je le sens: eh!	0	12	9	0	0.0	[]
13	Dans quel temps un ami nous est-il inutile.	0	13	9	0	0.0	[]
14	M De Montalais est enfin rendu à ses amis, qui souhaitoient passionnément son retour.	0	14	14	0	0.0	[]
15	M et Madame	0	15	3	0	0.0	[]
16	De Comminges	0	16	2	0	0.0	[]
17	,	0	17	0	0	0	[]
18	le Comte De Piennes, et Madame De Martigues célèbrent son arrivée par des fêtes: il mérite	0	18	16	0	0.0	[]
19	, je crois, tous les sentiment qu' il inspire.	0	19	8	0	0.0	[]
20	Adieu: mes plus tendres compliment à votre aimable sœur: elle doit être bien contente de moi.	0	20	16	1	0.0625	[['tendre']]
21	Je me prive du plaisir de lui écrire, pour ne pas la troubler dans sa douce paresse .	0	21	17	1	0.058823529411764705	[['douce']]
22	LETTRE 2	1	0	2	0	0.0	[]
23	Je vais vous confier un petit secret;	1	1	7	1	0.14285714285714285	[['petit']]
24	il fait naître de grandes espérances.	1	2	6	1	0.16666666666666666	[['grand']]
25	M	1	3	1	0	0.0	[]
26	De Méri	1	4	2	0	0.0	[]
27	, si décidé à marier Madame De Mirande à son maussade pupille, commence à revenir de sa longue prévention.	1	5	18	1	0.05555555555555555	[['long']]
28	Les amis du Comte	1	6	4	0	0.0	[]
29	De Termes entourent ce bon vieillard	1	7	6	0	0.0	[]
30	, lui demandent s	1	8	3	0	0.0	[]
31	' il veut toujours affliger sa nièce chérie?	1	9	7	0	0.0	[]
32	On le flatte, on le presse;	1	10	6	0	0.0	[]
33	le chevalier De Termes le voit, l' amuse, lui plaît;	1	11	10	0	0.0	[]
34	tout paraît s' arranger pour combler les vœux de deux personnes estimables.	1	12	12	0	0.0	[]
35	Madame De Martigues se donne de grands soins;	1	13	8	1	0.125	[['grand']]
36	le Comte	1	14	2	0	0.0	[]
37	De Piennes	1	15	2	0	0.0	[]
38	agit fortement;	1	16	2	0	0.0	[]
39	termes va, vient, court, tremble, se rassure, espère, se désole, rit et pleure vingt fois en un jour.	1	17	18	1	0.05555555555555555	[['court']]
40	Ami solide, tendre amant, iltouche, il intéresse;	1	18	7	2	0.2857142857142857	[['solide'], ['tendre']]
41	il engage tout le monde à souhaiter son bonheur.	1	19	9	0	0.0	[]
42	Mon attachement pour Madame De Mirande fixe mon attention sur un événement dont sa fortune et sa félicité dépendent.	1	20	19	1	0.05263157894736842	[['fixe']]
43	La perspective de ce mariage donne bien de la joie au Comte De Piennes.	1	21	14	0	0.0	[]
44	Si une de ces trois charmantes veuves , dit-il, rentrait sous le joug, les deux autres suivroient son exemple;	1	22	19	0	0.0	[]
45	Madame De Martigues se déciderait enfin, j' obtiendrois son cœur et sa main.	1	23	13	0	0.0	[]
46	La satisfaction de M De Piennes en serait une véritable pour tous ses amis;	1	24	14	0	0.0	[]
47	si Madame De Martigues écoutait mes conseils, elle l' épouserait, il serait heureux;	1	25	13	0	0.0	[]
48	mais reprendre de nouveaux liens, moi!	1	26	6	0	0.0	[]
49	Mon ami, je suis plus éloignée que jamais d' y penser.	1	27	11	0	0.0	[]
50	Le Marquis	1	28	2	0	0.0	[]
51	De Montalais	1	29	2	0	0.0	[]
52	est arrivé;	1	30	2	0	0.0	[]
53	vous l' ai-je dit?	1	31	5	0	0.0	[]
54	Avez-vous des nouvelles de Madame Du Lugei?	1	32	8	0	0.0	[]
55	Je vais vous étonner;	1	33	4	0	0.0	[]
56	nous sommes brouillées, oui, tout-à-fait brouillées.	1	34	6	0	0.0	[]
57	Je ne sais pourquoi cette femme prétendait régler ma conduite et me choisir des amis: fatiguée de ses leçons, j' ai cessé d' aller m' ennuyer à ses tristes dîners.	1	35	30	1	0.03333333333333333	[['triste']]
58	Je veux bien que vous me grondiez un peu, mon cher comte;	1	36	12	0	0.0	[]
59	mais ne vous rendez point arbitre de nos différends, et surtout ne vous avisez pas d' entreprendre de nous raccommoder.	1	37	20	0	0.0	[]
60	Adieu, j' ai fait toutes vos commissions.	1	38	7	0	0.0	[]
61	LETTRE 3 Oui, je vois souvent le Marquis De Montalais, je soupe presque tous les soirs avec lui.	2	0	18	0	0.0	[]
62	Mon dieu!	2	1	2	0	0.0	[]
63	Vousavez raison, cet homme est un enchanteur;	2	2	7	0	0.0	[]
64	il amuse, séduit, occupe;	2	3	4	0	0.0	[]
65	il a ranimé les plaisirs de notre société, il en fait les délices.	2	4	13	0	0.0	[]
66	Recherché, préféré, caressé, il conserve cette modestie qui le distingue si avantageusement, qualité rare dans un homme aimable;	2	5	18	1	0.05555555555555555	[['rare']]
67	oui, rare, peut-être dangereuse.	2	6	4	1	0.25	[['rare']]
68	Madame De Martigues ne conçoit pas comment elle a pu vivre six mois sans voir M De Montalais;	2	7	18	0	0.0	[]
69	elle l' écoute, l' admire, applaudit à ses moindres discours, veut que tout le monde en soit charmé, et gronde sérieusement quand on ose contrarier son goût.	2	8	27	0	0.0	[]
70	Le Comte	2	9	2	0	0.0	[]
71	De Piennes	2	10	2	0	0.0	[]
72	voit comme elle, dit comme elle;	2	11	6	0	0.0	[]
73	le plus riant accueil, mille louanges prodiguées au marquis, ne donnent point un instant d' humeur à un amant malheureux et jaloux!	2	12	22	0	0.0	[]
74	Cela ne vous paraît-il pas singulier, étonnant?	2	13	8	0	0.0	[]
75	La personne dont vous me parlez avec tant de chaleur m' est absolument inconnue.	2	14	14	0	0.0	[]
76	J' ignorais que ma mère eût une parente mariée en Bretagne, et sans doute elle-même ne le savait pas.	2	15	19	0	0.0	[]
77	Si Madame De Kerlanes est de la maison d' Estelan, maison qui m' est chère à tous égards, je suis prête à répondre à votre attente; et si deux mille louis peuvent faciliter l' établissement de Mademoiselle De Kerlanes, je consens de tout mon cœur à les donner.	2	16	48	0	0.0	[]
78	Mais, quel récit vous a-t-on fait?	2	17	8	0	0.0	[]
79	Rien n' est plus faux, je ne possède point les biens de la maison d' Estelan, ils étaient passés en des mains étrangères, long-temps avant ma naissance.	2	18	28	3	0.10714285714285714	[['faux'], ['main'], ['long']]
80	à la vérité, le dernier comte de ce nom m' a laissé les richesses qu' il rapporta de la Martinique; mais le Maréchal	2	19	23	0	0.0	[]
81	De Tende	2	20	2	0	0.0	[]
82	ne l' engagea point à me nommer sa légataire universelle ;	2	21	10	0	0.0	[]
83	les grands biens de M D' Estelan ne formèrent point les liens qui m' unirent au neveu du maréchal;	2	22	19	1	0.05263157894736842	[['grand']]
84	ce tendre parent me destinait à M De Sancerre, dans un temps où ma fortune était bien bornée, où je n' espérais pas ce brillant héritage.	2	23	26	1	0.038461538461538464	[['tendre']]
85	Je dois une entière justification à la mémoire du Maréchal	2	24	10	0	0.0	[]
86	De Tende;	2	25	2	0	0.0	[]
87	sa généreuse amitié pour moi lui fit souhaiter de me voir sa nièce: il désirait mon bonheur, il croyait l' assurer;	2	26	21	0	0.0	[]
88	le peu de succès de ses soins n' a point affaibli ma réconnaissance.	2	27	13	0	0.0	[]
89	Je me souviendrai toujours avec regret, avec douleur, qu' il n' a pas été en mon pouvoir de la lui prouver.	2	28	21	0	0.0	[]
90	Détrompez Madame	2	29	2	0	0.0	[]
91	De Kerlanes	2	30	2	0	0.0	[]
92	,	2	31	0	0	0	[]
93	détrompez	2	32	1	0	0.0	[]
94	-la, je vous en prie.	2	33	5	0	0.0	[]
95	Le frère de ma mère m' appela volontairement à sa succession;	2	34	11	0	0.0	[]
96	je vous instruirai des raisons qu' il eut de déshériter son fils.	2	35	12	0	0.0	[]
97	Non, je vous le jure, personne ne l' engagea à signer cet acte de vengeance;	2	36	15	0	0.0	[]
98	juste dans ses idées, téméraire dans les miennes.	2	37	8	0	0.0	[]
99	Comme parente de Madame De Kerlanes, je crois ne lui rien devoir; mais comme plus favorisée qu' elle de la fortune, je crois lui devoir des secours, et je me plairai à l' obliger.	2	38	34	0	0.0	[]
100	Madame De Mariadeck pouvait s' épargner ses pressantes sollicitations;	2	39	9	0	0.0	[]
101	le besoin est auprès de moi la recommandation la plus forte, j' imaginais que la sœur du Comte De Nancé me connaissait assez pour le penser.	2	40	26	1	0.038461538461538464	[['fort']]
102	Madame De Mirande sort, elle me prie de vous remercier de vos tendres vœux.	2	41	14	1	0.07142857142857142	[['tendre']]
103	Ses espérances augmentent à chaque instant.	2	42	6	0	0.0	[]
104	Madame De Themines entre;	2	43	4	0	0.0	[]
105	la voilà, belle, gaie, charmante;	2	44	5	1	0.2	[['bel']]
106	elle veut vous dire cent nouvelles, elle les écrit;	2	45	9	0	0.0	[]
107	je mettrai sa gazette dans malettre.	2	46	6	0	0.0	[]
108	Adieu, mon ami: je suis triste, je ne sais pourquoi.	2	47	10	1	0.1	[['triste']]
109	M De Montalais est à Versailles, je n' ai pu faire votre commission auprès de lui.	2	48	16	0	0.0	[]
110	LETTRE 4	3	0	2	0	0.0	[]
111	Oh!	3	1	1	0	0.0	[]
112	Vous veniez de recevoir une lettre de Madame Du Lugei quand vous m' avez écrit.	3	2	15	0	0.0	[]
113	La politesse de vos expressions ne peut me cacher l' esprit qui vous les dicte, ni effacer entièrement l' aigreur de ma sévère parente.	3	3	24	0	0.0	[]
114	Je méprise beaucoup l' espèce de sagesse dont elle tire vanité, je commence par vous le dire;	3	4	17	0	0.0	[]
115	toute affectation m' est odieuse: mais je veux répondre à vos observations, comme si la Marquise Du Lugei ne vous engageait point à me communiquer les siennes.	3	5	27	0	0.0	[]
116	Vous avez raison de blâmer la légèreté de mon amie;	3	6	10	0	0.0	[]
117	exacte dans ses mœurs, inconsidérée dans sa conduite, Madame De Martigues néglige trop peut-être de réunir tous les suffrages: elle dédaigne de se contraindre pour prévenir les malignes interprétations qu' on peut donner à ses discours, ou les fausses conjectures que ses démarches semblent quelquefois autoriser.	3	7	46	1	0.021739130434782608	[['faux']]
118	Souvent ses idées sont folles;	3	8	5	0	0.0	[]
119	elle est trop vive, trop attachée à faire précisément ce qu' elle veut, ce qui l' amuse.	3	9	17	1	0.058823529411764705	[['vif']]
120	Par exemple, sa fantaisie d' éprouver le Comte De Piennes dure trop long-temps.	3	10	14	2	0.14285714285714285	[['dur'], ['long']]
121	Un mariage annoncé, retardé, rompu;	3	11	5	0	0.0	[]
122	des brouilleries, des raccommodemens;	3	12	4	0	0.0	[]
123	un amant banni, rappelé, admis et rejeté dix fois en deux ans, cela est bizarre;	3	13	15	0	0.0	[]
124	cet amant lui demeure attaché , supporte ses caprices;	3	14	8	0	0.0	[]
125	un homme maltraité est-il capable de tant de patience ?	3	15	10	0	0.0	[]
126	Cette offensante question est de Madame Du Lugei;	4	0	8	0	0.0	[]
127	elle seule admire la patience d' un homme qui n' en a point du tout, qui se plaint sans cesse, tourmente continuellement les amis, les parents de Madame De Martigues, engage toute la France à lui parler, et peut-être éloigne par trop d' importunités l' instant favorable à ses désirs.	4	1	50	0	0.0	[]
128	En vérité, mon cher comte, on ferait une cruelle injustice à Madame De Martigues, si on osait la soupçonner de la moindre faiblesse;	4	2	23	0	0.0	[]
129	satisfaite du témoignage de son cœur, du respect de son amant, de l' estime de ses amis, elle peut se consoler d' élever des doutes, des craintes, d' inquiètes idées dans l' esprit de Madame Du Lugei.	4	3	37	1	0.02702702702702703	[['consoler']]
130	Cette femme, remplie de prétentions, voudrait tout attirer, tout occuper.	4	4	10	0	0.0	[]
131	L' étourderie de Madame De Martigues la blesse , dit-elle?	4	5	10	0	0.0	[]
132	Eh non, ce n' est pas cela;	4	6	7	0	0.0	[]
133	elle lui envie ce cercle nombreux que son naturel aimable et l' agrément de son commerce fixe chez elle...	4	7	19	2	0.10526315789473684	[['naturel'], ['fixe']]
134	on m' interrompt... c' est elle;	4	8	6	0	0.0	[]
135	c' est cette dangereuse compagne, objet de mes préférences .	4	9	9	0	0.0	[]
136	Nous allons sortir ensemble, je finirai ma lettre après souper.	4	10	10	0	0.0	[]
137	à minuit.	4	11	2	0	0.0	[]
138	Mon cher comte, afin de ne pas revenir sur un sujet désagréable, je veux l' épuiser, et vous répéter ce que j' ai dit cent fois à Madame Du Lugei.	4	12	30	0	0.0	[]
139	L' opinion des autres ne réglera jamais mes sentiment;	4	13	9	0	0.0	[]
140	mon cœur est mon juge suprême.	4	14	6	0	0.0	[]
