sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	Lettre	0	0	1	0	0.0	[]
1	I. Paris	0	1	2	0	0.0	[]
2	, 17 J'Ai reçu ta lettre, Charles;	0	2	7	0	0.0	[]
3	mon premier soin, en arrivant, est de te remercier d'une attention qui m'oblige.	0	3	15	0	0.0	[]
4	Je ne t'ai pas quitte sans regret, mon attendrissement à dû te le prouver.	0	4	15	0	0.0	[]
5	On se trompe fort sur l'objet de mon voyage.	0	5	10	1	0.1	[['fort']]
6	Ni le dessein de comparer deux nations rivales, ni cette mélancolie vague, qui porte une foule de nos compatriotes à passer la mer, ne m'attirent ici.	0	6	27	0	0.0	[]
7	Le besoin d'une distraction nécessaire à mon repos, peut-être à ma raison, la crainte de succomber à la plus vive tentation, de justes égards, un principe grave dans le fond de mon cœur, m'imposent seuls l'espèce de bannissement où je me condamne.	0	7	45	2	0.044444444444444446	[['vif'], ['grave']]
8	Je viens essayer de perdre à Paris des idées fantastiques dont je m'occupais trop à Londres.	0	8	17	0	0.0	[]
9	Si l'inconstance naturelle du climat influe sur moi, dissipe une séduisante erreur, je reverrai bientôt l'Angleterre et des amis dont l'éloignement se fait déjà sentir à mon cœur.	0	9	31	1	0.03225806451612903	[['naturel']]
10	Si je m'arrêtois à plusieurs de tes expressions, notre correspondance commenceroit comme finissent les sublimes entretiens de ton cousin Dunstan et de sir George, c'est-à-dire, par une querelle.	1	0	32	2	0.0625	[['sublime'], ['ton']]
11	Pourquoi ce long article sur ma négligence, pourquoi t'en plaindre avant de l'éprouver?	1	1	15	1	0.06666666666666667	[['long']]
12	Depuis un peu de temps tu me grondes sans motif.	1	2	10	0	0.0	[]
13	Je suis paresseux, dis-tu?	1	3	5	0	0.0	[]
14	Je veux bien convenir de ce défaut, mais si mon indolence te fâche, penses-tu que ta vivacité ne m'impatiente pas?	1	4	22	1	0.045454545454545456	[['ton']]
15	Eh bien, est-ce que je t'en aime moins, est-ce que je te tourmente dans l'espoir de te corriger?	1	5	22	0	0.0	[]
16	Soyons indulgens tous deux.	1	6	4	0	0.0	[]
