sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	CHAPITRE PREMIER.	0	0	2	0	0.0	[]
1	Je rends compte de mon éducation.	1	0	6	0	0.0	[]
2	Je développe les plus heureuses dispositions.	1	1	6	0	0.0	[]
3	La fortune me choisit pour me faire servir de jouet à ses caprices.	1	2	13	0	0.0	[]
4	Que mon lecteur ne s'attende pas à me voir débuter dans le récit de mes aventures, par l'ordre ordinaire de la généalogie, c'est-à-dire, par le détail de ma naissance, car elle fut long	2	0	38	0	0.0	[]
5	-temps	2	1	1	0	0.0	[]
6	une énigme pour moi, et je dois lui en laisser désirer la connaissance, jusqu'à l'époque où je l'ai acquise moi	2	2	23	0	0.0	[]
7	-	2	3	0	0	0	[]
8	même.	2	4	1	0	0.0	[]
9	Les vingt premières années de ma vie, ont été enveloppées d'un voile ténébreux, que les hasards seuls pouvaient déchirer.	3	0	20	0	0.0	[]
10	Il n'appartenait qu'à l'avenir de dissiper les nuages épais qui couvrirent ma première existence.	3	1	17	0	0.0	[]
11	Comme le nom de ma véritable famille me fut long	3	2	10	0	0.0	[]
12	-temps inconnu, j'invite le public à choisir avec moi, pour père adoptif, le vieux Thomassin , laboureur du canton de Jouy, petit village situé sur les confins de la Sologne.	3	3	30	2	0.06666666666666667	[['vieux'], ['petit']]
13	Ce fut en effet ce brave homme qui me servit de père, jusqu'au moment où le sort, voulant épuiser sur moi ses rigueurs, me laissa abandonné à la merci des événement.	3	4	32	0	0.0	[]
14	Thomassin, quoique fermier du comte de Stainville , était ancien militaire :	4	0	10	0	0.0	[]
15	il avait servi autrefois sous ses ordres, comme soldat, et après un grand nombre d'années, il était parvenu au rang d' anspessade .	4	1	23	1	0.043478260869565216	[['grand']]
16	S'imaginant alors qu'il était temps de songer à sa retraite, il était venu prendre possession d'une des fermes du Comte, avec sa chère Marianne , compagne de sa gloire et de ses travaux ;	4	2	35	0	0.0	[]
17	Marianne était comme lui enfant de giberne , et avait été nourrie dans les camps.	4	3	14	0	0.0	[]
18	Elle était la première vivandière de l'armée, lorsque Thomassin en fit la connaissance.	4	4	14	0	0.0	[]
19	Vingt ans, de grosses couleurs et beaucoup de gaîté, lui avaient attiré une foule d'amant ;	4	5	16	2	0.125	[['gros'], ['couleur']]
20	mais en fille sage, et qui sait ce qu'elle se doit, elle les désespérait tous sans en écouter un seul, lorsque Thomassin vint grossir le nombre des soupirans : il avait alors tout le mérite de la jeunesse ;	4	6	38	0	0.0	[]
21	ayant en outre le talent de mieux exprimer son amour, il fut préféré.	4	7	13	0	0.0	[]
22	Les noces se célébrèrent au grand mécontentement des jaloux, et Marianne joignant sa pièce d'eau-de-vie aux cent écus de Thomassin, ils formèrent à eux deux une cantine, qui, malgré les envieux, devint la plus achalandée de l'armée.	4	8	39	2	0.05128205128205128	[['grand'], ['joindre']]
23	Vingt années s'étaient passées ainsi dans la troupe, sans que les deux époux aient eu une seule fois à se plaindre l'un de l'autre.	5	0	27	0	0.0	[]
24	Lorsqu'ils eurent eu amassé ce qu'ils appelaient de quoi faire face aux événement, ils étaient venus prendre possession de la ferme du comte de Stainville, et avec le montant de leurs épargnes, ils étaient parvenus à se procurer une aisance douce et agréable.	5	1	45	1	0.022222222222222223	[['face']]
25	Telle était leur position, lorsque le ciel, en me faisant tomber entre leurs mains, leur confia le soin de mon existence, comme nous le verrons plus loin.	5	2	27	1	0.037037037037037035	[['main']]
26	Georges fut le nom que l'on me donna alors, si je me suis avisé depuis, de le changer, pour en prendre un plus noble et plus relevé, qu'on ne m'accuse pas aujourd'hui d'imposture, ce sont les circonstances qui m'ont forcé de me débaptiser ;	6	0	48	2	0.041666666666666664	[['noble'], ['relever']]
27	mais je prie mon lecteur de croire que je n'eus jamais un orgueil déplacé, et que si je suis en contradiction avec mon parain, c'est moins par amour-propre que par prudence, et d'ailleurs n'est-on pas obligé fort souvent de céder à la nécessité ?	6	1	49	1	0.02040816326530612	[['fort']]
28	À l'âge de sept ans, je perdis ma mère nourrice, la bonne et tendre Marianne : je dis tendre, car elle l'était en effet ;	7	0	25	2	0.08	[['tendre'], ['tendre']]
29	elle avait pour moi tout l'attachement d'une véritable mère ;	7	1	11	0	0.0	[]
30	le ciel, sourd à ses vœux, lui avait refusé un fruit de son hymen, et j'étais devenu son cher enfant, en son lieu et place.	7	2	26	1	0.038461538461538464	[['sourd']]
31	Il faut dire aussi que j'étais un vrai phénix pour mon âge : je volais supérieurement les fruits du jardin ;	7	3	20	0	0.0	[]
32	je savais décrêmer les jattes de lait, le plus joliment du monde ;	7	4	12	0	0.0	[]
33	je dénichais les œufs comme un renard.	7	5	7	0	0.0	[]
34	À ces talents agréables, j'en joignais encore de plus utiles : je savais mener les vaches aux champs, et préserver les bleds de leurs incursions ;	7	6	25	0	0.0	[]
35	je savais pareillement, à l'aide d'une grande baguette, conduire un troupeau d'oies, sans en perdre un seul ;	7	7	20	1	0.05	[['grand']]
36	si par hasard, pendant que je grimpais dans le pommier du voisin, il s'en égarait quelques-uns, je trouvais toujours les moyens de m'excuser, en mentant avec impudence.	7	8	29	1	0.034482758620689655	[['pendant']]
37	De si jolies dispositions ne pouvaient rester long-temps enfouies.	8	0	10	1	0.1	[['long']]
38	À la mort de la bonne Marianne, je trouvai l'occasion de les cultiver.	8	1	14	0	0.0	[]
39	Le Comte de Stainville s'était rendu à notre ferme, pour consoler Thomassin de la perte qu'il venait de faire.	8	2	21	1	0.047619047619047616	[['consoler']]
40	Dans cette visite, il me remarqua ;	8	3	6	0	0.0	[]
41	il eut la bonté de me trouver une figure heureuse, des yeux vifs et animés, un regard fin et spirituel, en un mot, il crut pressentir qu'avec de l'instruction et des soins, je pourrais un jour devenir un homme important, et dans cette heureuse prévention, il se chargea lui-même de mon instruction ;	8	4	54	5	0.09259259259259259	[['figure'], ['oeil'], ['vif'], ['regard'], ['fin']]
42	il demanda à Thomassin la permission de m'emmener à son château, et de me faire élever sous ses yeux ;	8	5	20	0	0.0	[]
43	Thomassin y consentit, quoiqu'avec peine ;	8	6	6	0	0.0	[]
44	il avait des raisons pour tenir à moi, d'ailleurs, je lui étais devenu nécessaire, par la seule idée que j'avais été cher à la pauvre défunte ;	8	7	28	0	0.0	[]
45	cependant, n'ayant rien à refuser à son seigneur, il se sépara de moi les larmes aux yeux, en me recommandant bien d'être sage, et d'être digne des bienfaits de monsieur le Comte.	8	8	35	1	0.02857142857142857	[['oeil']]
46	Je me séparai de mon père nourricier, sans douleur et sans regrets ;	9	0	12	0	0.0	[]
47	l'idée d'être élevé au château du Seigneur de la Paroisse, avait remplacé mes autres affections, et la perspective qui m'offrait l'avenir, était trop brillante pour m'amuser à regretter mes occupations rurales, et je fis de bon cœur mes adieux à mes vaches et à mes oies, même aux pommes du voisin, dans l'espérance de trouver des dédommagement dans ma nouvelle habitation.	9	1	67	0	0.0	[]
48	CHAPITRE II.	10	0	2	0	0.0	[]
49	Je deviens amoureux.	11	0	3	0	0.0	[]
50	Le désir de plaire me rend savant.	11	1	7	0	0.0	[]
51	Progrès de mon amour.	11	2	4	0	0.0	[]
52	En arrivant au château du Comte, je ne fus que médiocrement surpris de la magnificence qui frappa mes regards ;	12	0	19	0	0.0	[]
53	quoique je ne fusse jamais sorti de ma ferme, je m'accoutumai facilement aux avantages de ma nouvelle demeure ;	12	1	19	0	0.0	[]
54	je la contemplai sans un excès de joie ni de surprise ;	12	2	11	0	0.0	[]
55	il semblait que je devais m'accoutumer d'avance, avec les changement de position, et me familiariser avec l'inconstance de la fortune.	12	3	23	0	0.0	[]
56	Je paraissais prévoir qu'elle devait par la suite m'accabler et me caresser tour-à-tour.	12	4	15	0	0.0	[]
57	Le Comte de Stainville, tout en se chargeant de mon instruction, voulut aussi tirer parti de mes services et dès-lors il me destina la place de Jockey : mon pantalon de toile fut changé contre une culotte de daim, bien collante ;	12	5	41	0	0.0	[]
58	ma grosse veste fut troquée contre un gillet écarlate, surmonté d'un galon d'argent ; et au lieu du bonnet de laine qui couvrait mes cheveux plats et gras, on vit figurer sur ma tête un chapeau à haute forme.	12	6	40	6	0.15	[['gros'], ['de', 'argent'], ['cheveux'], ['plat'], ['gras'], ['tête']]
59	Ce costume semblait exiger de nouveaux sentiment et de nouvelles manières, aussi je composai les miennes du mieux qu'il me fut possible.	12	7	23	0	0.0	[]
60	En peu de temps j'appris à lire, à écrire et à panser un cheval.	12	8	15	0	0.0	[]
61	Le Comte ne borna pas là ses bienfaits, il avait sur moi des vues plus étendues ;	12	9	16	0	0.0	[]
62	il me donna un maître de calcul, de dessin et d'histoire.	12	10	12	0	0.0	[]
63	J'avais l'imagination bouillante et active, et en peu de temps je fis des progrès rapides.	12	11	17	0	0.0	[]
