sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	LIVRE PREMIER	0	0	2	0	0.0	[]
1	Tout est bien sortant des mains de l'Auteur des choses;	0	1	11	1	0.09090909090909091	[['main']]
2	tout dégénère entre les mains de l'homme.	0	2	8	1	0.125	[['main']]
3	Il force une terre à nourrir les productions d'une autre, un arbre à porter les fruits d'un autre;	0	3	20	0	0.0	[]
4	il mêle etamp;	0	4	3	0	0.0	[]
5	confond les climats, les éléments, les saisons;	0	5	7	0	0.0	[]
6	il mutile son chien, son cheval, son esclave;	0	6	8	0	0.0	[]
7	il bouleverse tout, il défigure tout, il aime la difformité, les monstres;	0	7	12	0	0.0	[]
8	il ne veut rien tel que l'a fait la nature, pas même l'homme;	0	8	15	0	0.0	[]
9	il le faut dresser pour lui, comme un cheval de manège;	0	9	11	0	0.0	[]
10	il le faut contourner à sa mode, comme un arbre de son jardin.	0	10	13	1	0.07692307692307693	[['contourner']]
11	Sans cela, tout irait plus mal encore, etamp;	1	0	8	0	0.0	[]
12	notre espèce ne veut pas être façonnée à demi.	1	1	9	0	0.0	[]
13	Dans l'état où sont désormais les choses, un homme abandonné dès sa naissance à lui-même parmi les autres serait le plus défiguré de tous.	1	2	25	1	0.04	[['défigurer']]
14	Les préjugés, l'autorité, la nécessité, l'exemple, toutes les institutions sociales, dans lesquelles nous nous trouvons submergés, étoufferaient en lui la nature, etamp;	1	3	24	0	0.0	[]
15	ne mettraient rien à la place.	1	4	6	0	0.0	[]
16	Elle y serait comme un arbrisseau que le hasard fait naître au milieu d'un chemin, etamp; que les passants font bientôt périr, en le heurtant de toutes parts etamp;	1	5	30	0	0.0	[]
17	le pliant dans tous les sens.	1	6	6	0	0.0	[]
18	C'est à toi que je m'adresse, tendre etamp; prévoyante mère, qui sus t'écarter de la grande route, etamp;	2	0	21	2	0.09523809523809523	[['tendre'], ['grand']]
19	garantir l'arbrisseau naissant du choc des opinions humaines Cultive, arrose la jeune plante avant qu'elle meure: ses fruits feront un jour tes délices.	2	1	25	0	0.0	[]
20	Forme de bonne heure une enceinte autour de l'âme de ton enfant;	2	2	13	1	0.07692307692307693	[['ton']]
21	un autre en peut marquer le circuit, mais toi seule y dois poser la barrière.	2	3	15	0	0.0	[]
22	On façonne les plantes par la culture, etamp;	3	0	8	0	0.0	[]
23	les hommes par l'éducation.	3	1	5	0	0.0	[]
24	Si l'homme naissait grand etamp;	3	2	6	1	0.16666666666666666	[['grand']]
25	fort, aille etamp;	3	3	3	1	0.3333333333333333	[['fort']]
26	sa force lui seraient inutiles jusqu'à ce qu'il eût appris à s'en servir;	3	4	16	0	0.0	[]
27	elles lui seraient préjudiciables, en empêchant les autres de songer à l'assister;	3	5	13	0	0.0	[]
28	et, abandonné à lui-même, il mourait de misère avant d'avoir connu ses besoins.	3	6	14	1	0.07142857142857142	[['mourir']]
29	On se plaint de l'état de l'enfance;	3	7	9	0	0.0	[]
30	on ne voit pas que la race humaine eût péri, si l'homme n'eût commencé par être enfant.	3	8	19	0	0.0	[]
31	Nous naissons faibles, nous avons besoin de force;	4	0	8	1	0.125	[['faible']]
32	nous naissons dépourvus de tout, nous avons besoin d'assistance;	4	1	10	0	0.0	[]
33	nous naissons stupides, nous avons besoin de jugement.	4	2	8	1	0.125	[['stupide']]
34	Tout ce que nous n'avons pas à notre naissance etamp; dont nous avons besoin étant grands, nous est donné par l'éducation.	4	3	23	1	0.043478260869565216	[['grand']]
35	Cette éducation nous vient de la nature, ou des hommes ou des choses.	5	0	13	0	0.0	[]
36	Le développement interne de nos facultés etamp;	5	1	7	0	0.0	[]
37	de nos organes est l'éducation de la nature;	5	2	9	0	0.0	[]
38	l'usage qu'on nous apprend à faire de ce développement est l'éducation des hommes;	5	3	16	0	0.0	[]
39	etamp;	5	4	1	0	0.0	[]
40	l'acquis de notre propre expérience sur les objets qui nous affectent est l'éducation des choses.	5	5	17	0	0.0	[]
41	Chacun de nous est donc formé par trois sortes de maîtres.	6	0	11	0	0.0	[]
42	Le disciple dans lequel leurs diverses leçons se contrarient est mal élevé, etamp;	6	1	13	0	0.0	[]
43	ne sera jamais d'accord avec lui-même;	6	2	7	0	0.0	[]
44	celui dans lequel elles tombent toutes sur les mêmes points, et tendent aux mêmes fins, va seul à son but etamp;	6	3	21	1	0.047619047619047616	[['fin']]
45	vit conséquemment.	6	4	2	0	0.0	[]
46	Celui-là seul est bien élevé.	6	5	6	0	0.0	[]
47	Or, de ces trois éducations différentes, celle de la nature ne dépend point de nous;	7	0	15	0	0.0	[]
48	celle des choses n'en dépend qu'à certains égards.	7	1	10	0	0.0	[]
49	Celle des hommes est la seule dont nous soyons vraiment les maîtres;	7	2	12	0	0.0	[]
50	encore ne le sommes nous que par supposition;	7	3	8	0	0.0	[]
51	car qui est-ce qui peut espérer de diriger entièrement les discours et les actions de tous ceux qui environnent un enfant?	7	4	22	0	0.0	[]
52	Sitôt donc que l'éducation est un art, il est presque impossible qu'elle réussisse, puisque le concours nécessaire à son succès ne dépend de personne.	8	0	26	0	0.0	[]
53	Tout ce qu'on peut faire à force de soins est d'approcher plus ou moins du but, mais il faut du bonheur pour l'atteindre.	8	1	26	0	0.0	[]
54	Quel est ce but?	9	0	4	0	0.0	[]
55	c'est celui même de la nature;	9	1	7	0	0.0	[]
56	cela vient d'être prouvé.	9	2	5	0	0.0	[]
57	Puisque le concours des trois éducations est nécessaire à leur perfection, c'est sur celle à laquelle nous ne pouvons rien qu'il faut diriger les deux autres.	9	3	28	0	0.0	[]
58	Mais peut-être ce mot de nature a-t-il un sens trop vague;	9	4	13	0	0.0	[]
59	il faut tâcher ici de le fixer.	9	5	7	0	0.0	[]
60	La nature, nous dit-on, n'est que l'habitude.	10	0	10	0	0.0	[]
61	Que signifie cela?	11	0	3	0	0.0	[]
62	N'y a-t-il pas des habitudes qu'on ne contracte que par force, etamp;	11	1	16	0	0.0	[]
63	qui n'étouffent jamais la nature?	11	2	6	0	0.0	[]
64	Telle est, par exemple, l'habitude des plantes dont on gêne la direction verticale.	11	3	14	0	0.0	[]
65	La plante mise en liberté garde l'inclinaison qu'on l'a forcée à prendre;	11	4	15	0	0.0	[]
66	mais la sève n'a point changé pour cela sa direction primitive; et, si la plante continue à végéter, son prolongement redevient vertical.	11	5	23	0	0.0	[]
67	Il en est de même des inclinations des hommes.	11	6	9	0	0.0	[]
68	Tant qu'on reste dans le même état, on peut garder celles qui résultent de l'habitude, etamp;	11	7	18	0	0.0	[]
69	qui nous sont le moins naturelles;	11	8	6	0	0.0	[]
70	mais, sitôt que la situation change, l'habitude cesse etamp;	11	9	10	0	0.0	[]
71	le naturel revient.	11	10	3	1	0.3333333333333333	[['naturel']]
72	L'éducation n'est certainement qu'une habitude.	11	11	8	0	0.0	[]
73	Or, n'y a-t-il pas des gens qui oublient etamp;	11	12	12	0	0.0	[]
74	perdent leur éducation, d'autres qui la gardent?	11	13	8	0	0.0	[]
75	D'où vient cette différence?	11	14	5	0	0.0	[]
76	S'il faut borner le nom de nature aux habitudes conformes à la nature, on peut s'épargner ce galimatias.	11	15	20	0	0.0	[]
77	Nous naissons sensibles, et, dès notre naissance, nous sommes affectés de diverses manières par les objets qui nous environnent.	12	0	19	0	0.0	[]
78	Sitôt que nous avons pour ainsi dire la conscience de nos sensations, nous sommes disposés à rechercher ou à fuir les objets qui les produisent, d'abord, selon qu'elles nous sont agréables ou déplaisantes, puis, selon la convenance ou disconvenance que nous trouvons entre nous etamp;	12	1	47	1	0.02127659574468085	[['agréable']]
79	ces objets, etamp;	12	2	3	0	0.0	[]
80	enfin, selon les jugements que nous en portons sur l'idée de bonheur ou de perfection que la raison nous donne.	12	3	21	0	0.0	[]
81	Ces dispositions s'étendent etamp;	12	4	5	0	0.0	[]
