sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	PREMIERE PARTIE	0	0	2	0	0.0	[]
1	LETTRE	0	1	1	0	0.0	[]
2	I.	0	2	1	0	0.0	[]
3	A JULIE	1	0	2	0	0.0	[]
4	Il faut vous fuir, Mademoiselle, je le sens bien: j’aurois dû beaucoup moins attendre, ou plutôt il fallait ne vous voir jamais.	1	1	23	0	0.0	[]
5	Mais que faire aujourd’hui?	1	2	4	0	0.0	[]
6	Comment m’y prendre?	1	3	4	0	0.0	[]
7	Vous m’avez promis de l’amitié;	1	4	7	0	0.0	[]
8	voyez mes perplexités, et conseillez-moi.	1	5	6	0	0.0	[]
9	Vous savez que je ne suis entré dans votre maison que sur l’invitation de Madame votre mère.	2	0	18	0	0.0	[]
10	Sachant que j’avais cultivé quelques talents agréables, elle a cru qu’ils ne seraient pas inutiles, dans un lieu dépourvu de maîtres, à l’éducation d’une fille qu’elle adore.	2	1	32	1	0.03125	[['agréable']]
11	Fier, à mon tour, d’orner de quelques fleurs un si beau naturel, j’osai me charger de ce dangereux soin sans en prévoir le péril, ou du moins sans le redouter.	2	2	32	2	0.0625	[['beau'], ['naturel']]
12	Je ne vous dirai point que je commence à payer le prix de ma témérité:	2	3	15	0	0.0	[]
13	j’espère que je ne m’oublierai jamais jusqu’à vous tenir des discours qu’il ne vous convient pas d’entendre, et manquer au respect que je dois à vos mœurs, encore plus qu’à votre naissance et à vos charmes.	2	4	42	0	0.0	[]
14	Si je souffre, j’ai du moins la consolation de souffrir seul, et je ne voudrais pas d’un bonheur qui pût coûter au vôtre.	2	5	25	0	0.0	[]
15	Cependant je vous vois tous les jours, et je m’aperçois que sans y songer vous aggravez innocemment des maux que vous ne pouvez plaindre, et que vous devez ignorer.	3	0	30	0	0.0	[]
16	Je sais, il est vrai, le parti que dicte en pareil cas la prudence au défaut de l’espoir;	3	1	19	0	0.0	[]
17	et je me serais efforcé de le prendre, si je pouvais accorder en cette occasion la prudence avec l’honnêteté;	3	2	20	0	0.0	[]
18	mais comment me retirer décemment d’une maison dont la maîtresse elle-même m’a offert l’entrée, où elle m’accable de bontés, où elle me croit de quelque utilité à ce qu’elle a de plus cher au monde?	3	3	40	0	0.0	[]
19	Comment frustrer cette tendre mère du plaisir de surprendre un jour son époux par vos progrès dans des études qu’elle lui cache à ce dessein?	3	4	26	1	0.038461538461538464	[['tendre']]
20	Faut-il quitter impoliment sans lui rien dire?	3	5	8	0	0.0	[]
21	Faut-il lui déclarer le sujet de ma retraite?	3	6	9	0	0.0	[]
22	Et cet aveu même ne l’offensera-t-il pas de la part d’un homme dont la naissance et la fortune ne peuvent lui permettre d’aspirer à vous?	3	7	30	0	0.0	[]
23	Je ne vois, Mademoiselle, qu’un moyen de sortir de l’embarras où je suis;	4	0	15	0	0.0	[]
24	c’est que la main qui m’y plonge m’en retire, que ma peine, ainsi que ma faute, me vienne de vous, et qu’au mains par pitié pour moi, vous daigniez m’interdire votre présence.	4	1	37	2	0.05405405405405406	[['main'], ['main']]
25	Montrez ma lettre à vos parents;	4	2	6	0	0.0	[]
26	faites-moi refuser votre porte;	4	3	5	0	0.0	[]
27	chassez-moi comme il vous plaira;	4	4	6	0	0.0	[]
28	je puis tout endurer de vous;	4	5	6	0	0.0	[]
29	je ne puis vous fuir de moi	4	6	7	0	0.0	[]
30	-	4	7	0	0	0	[]
31	même.	4	8	1	0	0.0	[]
32	Vous, me chasser!	5	0	3	0	0.0	[]
33	moi, vous fuir! et pourquoi?	5	1	5	0	0.0	[]
34	Pourquoi donc est-ce un crime d’être sensible au mérite, et d’aimer ce qu’il faut qu’on honore?	5	2	21	0	0.0	[]
35	Non, belle Julie;	5	3	3	1	0.3333333333333333	[['bel']]
36	vos attraits avaient ébloui mes yeux;	5	4	6	0	0.0	[]
37	jamais ils n’eussent égaré mon cœur, sans l’attrait plus puissant qui les anime.	5	5	15	1	0.06666666666666667	[['puissant']]
38	C’est cette union touchante d’une sensibilité si vive et d’une inaltérable douceur;	5	6	15	1	0.06666666666666667	[['vif']]
