sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	Le triomphe de la philosophie serait de jeter du jour sur l'obscurité des voies dont la providence se sert pour parvenir aux fins qu'elle se propose sur l'homme, et de tracer d'après cela quelque plan de conduite qui pût faire connaître à ce malheureux individu bipède, perpétuellement ballotté par les caprices de cet être qui, dit-on, le dirige aussi despotiquement, la manière dont il faut qu'il interprète les décrets de cette providence sur lui, la route qu'il faut qu'il tienne pour prévenir les caprices bizarres de cette fatalité à laquelle on donne vingt noms différents, sans être encore parvenu à la définir.	0	0	110	1	0.00909090909090909	[['fin']]
1	Car si, partant de nos conventions sociales et ne s'écartant jamais du respect qu'on nous inculqua pour elles dans l'éducation, il vient malheureusement à arriver que par la perversité des autres, nous n'ayons pourtant jamais rencontré que des épines, lorsque les méchants ne cueillaient que des roses, des gens privés d'un fonds de vertu assez constaté pour se mettre au-dessus des réflexions fournies par ces tristes circonstances, ne calculeront-ils pas qu'alors il vaut mieux s'abandonner au torrent que d'y résister, ne diront-ils pas que la vertu telle belle qu'elle soit, quand malheureusement elle devient trop faible pour lutter contre le vice, devient le plus mauvais parti qu'on puisse prendre et que dans un siècle entièrement corrompu le plus sûr est de faire comme les autres ?	1	0	137	5	0.0364963503649635	[['rose'], ['fournir'], ['triste'], ['bel'], ['faible']]
2	Un peu plus instruits si l'on veut, et abusant des lumières qu'ils ont acquises, ne diront-ils pas avec l'ange Jesrad de Zadig qu'il n'y a aucun mal dont il ne naisse un bien ;	1	1	39	0	0.0	[]
3	n'ajouteront-ils pas à cela d'eux-mêmes que puisqu'il y a dans la constitution imparfaite de notre mauvais monde une somme de maux égale à celle du bien, il est essentiel pour le maintien de l'équilibre qu'il y ait autant de bons que de méchants, et que d'après cela il devient égal au plan général que tel ou tel soit bon ou méchant de préférence ;	1	2	71	1	0.014084507042253521	[['maintien']]
4	que si le malheur persécute la vertu, et que la prospérité accompagne presque toujours le vice, la chose étant égale aux vues de la nature, il vaut infiniment mieux prendre parti parmi les méchants qui prospèrent que parmi les vertueux qui périssent ?	1	3	42	0	0.0	[]
5	Il est donc important de prévenir ces sophismes dangereux de la philosophie, essentiel de faire voir que les exemples de la vertu malheureuse présentés à une âme corrompue dans laquelle il reste encore pourtant quelques bons principes, peuvent ramener cette âme au bien tout aussi sûrement que si on lui eût offert dans cette route de la vertu les palmes les plus brillantes et les plus flatteuses récompenses.	1	4	68	0	0.0	[]
6	Il est cruel sans doute d'avoir à peindre une foule de malheurs accablant la femme douce et sensible qui respecte le mieux la vertu, et d'une autre part la plus brillante fortune chez celle qui la méprise toute sa vie ;	1	5	42	1	0.023809523809523808	[['douce']]
7	mais s'il naît cependant un bien de l'esquisse de ces deux tableaux, aura-t-on à se reprocher de les avoir offerts au public ?	1	6	26	0	0.0	[]
8	pourra-t-on former quelque remords d'avoir établi un fait, d'où il résultera pour le sage qui lit avec fruit la leçon si utile de la soumission aux ordres de la providence, une partie du développement de ses plus secrètes énigmes et l'avertissement fatal que c'est souvent pour nous ramener à nos devoirs que le ciel frappe à côté de nous les êtres qui paraissent même avoir le mieux rempli les leurs ?	1	7	76	0	0.0	[]
9	Tels sont les sentiments qui nous mettent la plume à la main, et c'est en considération de leur bonne foi que nous demandons à nos lecteurs un peu d'attention mêlé d'intérêt pour les infortunes de la triste et misérable Justine.	2	0	43	2	0.046511627906976744	[['main'], ['triste']]
10	Mme la comtesse de Lorsange était une de ces prêtresses de Vénus, dont la fortune est l'ouvrage d'une figure enchanteresse, de beaucoup d'inconduite et de fourberie, et dont les titres quelque pompeux qu'ils saient ne se trouvent que dans les archives de Cythère, forgés par l'impertinence qui les prend et soutenus par la sotte crédulité qui les donne.	3	0	63	1	0.015873015873015872	[['figure']]
11	Brune, fort vive, une belle taille, des yeux noirs d'une expression prodigieuse, de l'esprit et surtout cette incrédulité de mode qui, prêtant un sel de plus aux passions, fait rechercher avec bien plus de soin la femme en qui l'on la soupçonne ;	4	0	45	6	0.13333333333333333	[['fort'], ['vif'], ['bel'], ['taille'], ['oeil'], ['noir']]
12	elle avait reçu néanmoins la plus brillante éducation possible ;	4	1	9	0	0.0	[]
13	fille d'un très gros commerçant de la rue Saint-Honoré, elle avait été élevée avec une sœur plus jeune qu'elle de trois ans dans un des meilleurs couvents de Paris, où jusqu'à l'âge de quinze ans, aucun conseil, aucun maître, aucun bon livre, aucun talent ne lui avait été refusé.	4	2	53	1	0.018867924528301886	[['gros']]
14	A cette époque fatale pour la vertu d'une jeune fille, tout lui manqua dans un seul jour.	4	3	18	0	0.0	[]
15	Une banqueroute affreuse précipita son père dans une situation si cruelle que tout ce qu'il put faire pour échapper au sort le plus sinistre fut de passer promptement en Angleterre, laissant ses filles à sa femme qui mourut de chagrin huit jours après le départ de son mari.	4	4	49	0	0.0	[]
16	Un ou deux parents qui restaient au plus délibérèrent sur ce qu'ils feraient des filles, et leur part faite se montant à environ cent écus chacune, la résolution fut de leur ouvrir la porte, de leur donner ce qui leur revenait et de les rendre maîtresses de leurs actions.	4	5	50	0	0.0	[]
17	Mme de Lorsange qui se nommait alors Juliette et dont le caractère et l'esprit étaient à fort peu de chose près aussi formés qu'à l'âge de trente ans, époque où elle était lors de l'anecdote que nous racontons, ne parut sensible qu'au plaisir d'être libre, sans réfléchir un instant aux cruels revers qui brisaient ses chaînes.	4	6	62	1	0.016129032258064516	[['fort']]
18	Pour Justine, sa sœur, venant d'atteindre sa douzième année, d'un caractère sombre et mélancolique, douée d'une tendresse, d'une sensibilité surprenantes, n'ayant au lieu de l'art et de la finesse de sa sœur, qu'une ingénuité, une candeur, une bonne foi qui devaient la faire tomber dans bien des pièges, elle sentit toute l'horreur de sa position.	4	7	63	2	0.031746031746031744	[['sombre'], ['mélancolique']]
19	Cette jeune fille avait une physionomie toute différente de celle de Juliette ;	4	8	12	0	0.0	[]
20	autant on voyait d'artifice, de manège, de coquetterie dans les traits de l'une, autant on admirait de pudeur, de délicatesse et de timidité dans l'autre.	4	9	28	0	0.0	[]
21	Un air de vierge, de grands yeux bleus pleins d'intérêt, une peau éblouissante, une taille fine et légère, un son de voix touchant, des dents d'ivoire et de beaux cheveux blonds, telle est l'esquisse de cette cadette charmante dont les grâces naïves et les traits délicieux sont d'une touche trop fine et trop délicate pour ne pas échapper au pinceau qui voudrait les réaliser.	4	10	68	16	0.23529411764705882	[['grand'], ['oeil'], ['bleu'], ['plein'], ['peau'], ['taille'], ['fine'], ['voix'], ['dent'], ['beau'], ['cheveux'], ['blond'], ['naïf'], ['délicieux'], ['fine'], ['délicat']]
22	On leur donna vingt-quatre heures à l'une et à l'autre pour quitter le couvent, leur laissant le soin de se pourvoir avec leurs cent écus où bon leur semblerait.	5	0	31	0	0.0	[]
23	Juliette, enchantée d'être sa maîtresse, voulut un moment essuyer les pleurs de Justine, mais voyant qu'elle n'y réussirait pas, elle se mit à la gronder au lieu de la consoler, elle lui dit qu'elle était une bête et qu'avec l'âge et les figures qu'elles avaient, il n'y avait point d'exemple que des filles mourussent de faim ;	5	1	65	3	0.046153846153846156	[['pleur'], ['consoler'], ['figure']]
24	elle lui cita la fille d'une de leurs voisines, qui s'étant échappée de la maison paternelle, était maintenant richement entretenue par un fermier général et roulait carrosse à Paris.	5	2	31	0	0.0	[]
25	Justine eut horreur de ce pernicieux exemple, elle dit qu'elle aimerait mieux mourir que de le suivre et refusa décidément d'accepter un logement avec sa sœur sitôt qu'elle la vit décidée au genre de vie abominable dont Juliette lui faisait l'éloge.	5	3	45	1	0.022222222222222223	[['mourir']]
26	Les deux sœurs se séparèrent donc sans aucune promesse de se revoir, dès que leurs intentions se trouvaient si différentes.	6	0	20	0	0.0	[]
27	Juliette qui allait, prétendait-elle, devenir une grande dame, consentirait-elle à revoir une petite fille défît les inclinations vertueuses et basses allaient la déshonora, et de son côté Justine voudrait-elle risquer ses mœurs dans la société d'une créature perverse qui allait devenir victime de la crapule et de la débauche publique ?	6	1	54	4	0.07407407407407407	[['grand'], ['petit'], ['défaire'], ['bas']]
28	Chacune	6	2	1	0	0.0	[]
29	chercha donc des ressources et quitta le couvent dès le lendemain ainsi que	6	3	13	0	0.0	[]
30	cela était convenu.	6	4	3	0	0.0	[]
31	Justine caressée étant enfant par la couturière de sa mère	7	0	10	0	0.0	[]
32	, s'imagina que cette femme serait sensible à son sort, elle fut la trouver, elle lui raconta sa malheureuse position, lui demanda de l'ouvrage et en fut durement rejetée...	7	1	30	0	0.0	[]
33	--Oh	8	0	1	0	0.0	[]
34	, ciel dit cette pauvre petite créature, faut-il que le premier pas que je fais dans le monde	8	1	18	1	0.05555555555555555	[['petit']]
35	ne me conduise déjà qu'aux chagrins...	8	2	7	0	0.0	[]
36	cette femme m'aimait autrefois, pourquoi donc me repousse-t-elle aujourd'hui ?	8	3	12	0	0.0	[]
37	...	8	4	0	0	0	[]
38	Hélas, c'est que je suis orpheline et pauvre...	8	5	9	0	0.0	[]
39	c'est que je n'ai plus de ressource dans le monde et qu'on n'estime les gens qu'en raison des secours, ou des agréments que l'on s'imagine en recevoir.	8	6	34	0	0.0	[]
40	Justine	9	0	1	0	0.0	[]
41	voyant cela	9	1	2	0	0.0	[]
42	fut trouver le curé de sa paroisse, elle lui demanda quelques conseils, mais le charitable ecclésiastique lui répondit équivoquement que la paroisse était surchargée, qu'il était impossible qu'elle pût avoir part aux aumônes, que cependant si elle voulait le servir, il la logerait volontiers chez lui ; mais comme en disant cela le saint homme lui avait passé la main sous le menton en lui donnant un baiser beaucoup trop mondain pour un homme d'Église, Justine qui ne l'avait que trop compris se retira fort vite, en lui disant : --Monsieur, je ne vous demande ni l'aumône, ni une place de servante, il y a trop peu de temps que je quitte un état au-dessus de celui qui peut faire solliciter ces deux grâces, pour en être encore réduite là ;	9	2	133	3	0.022556390977443608	[['main'], ['menton'], ['fort']]
43	je vous demande les conseils dont ma jeunesse et mon malheur ont besoin, et vous voulez me les faire acheter par un crime...	9	3	23	0	0.0	[]
44	Le curé révolté de ce terme	10	0	6	0	0.0	[]
45	ouvre la porte, la chasse brutalement, et Justine, deux fois repoussée dès le premier jour qu'elle est condamnée à l'isolisme, entre dans une maison où elle voit un écriteau, loue une petite chambre garnie, la paye d'avance et s'y livre tout à l'aise au chagrin que lui inspirent son état et la cruauté du peu d'individus auxquels sa malheureuse étoile l'a contrainte d'avoir affaire.	10	1	72	1	0.013888888888888888	[['petit']]
46	Le lecteur nous permettra de l'abandonner quelque temps dans ce réduit obscur, pour retourner à Juliette et pour lui apprendre le plus brièvement possible comment du simple état où nous la voyons sortir, elle devint en quinze ans femme titrée, possédant plus de trente mille livres de rentes, de très beaux bijoux, deux ou trois maisons tant à la campagne qu'à Paris, et pour l'instant, le cœur, la richesse et la confiance de M. de Corville, conseiller d'État, homme dans le plus grand crédit et à la veille d'entrer dans le ministère...	11	0	97	1	0.010309278350515464	[['grand']]
47	La route fut épineuse...	12	0	4	0	0.0	[]
48	on n'en doute assurément pas	12	1	6	0	0.0	[]
49	, c'est par l'apprentissage le plus honteux et le plus dur, que ces demoiselles-là font leur chemin, et telle est dans le lit d'un prince aujourd'hui qui porte peut-être encore sur elle les marques humiliantes de la brutalité des libertins dépravés, entre les mains desquels son début, sa jeunesse et son inexpérience la jetèrent.	12	2	57	2	0.03508771929824561	[['dur'], ['main']]
50	En sortant du couvent, Juliette fut tout simplement trouver une femme qu'elle avait entendu nommer à cette amie de son voisinage qui s'était pervertie et dont elle avait retenu l'adresse ;	13	0	33	0	0.0	[]
51	elle y arrive effrontément avec son paquet sous le bras, une petite robe en désordre, la plus jolie figure du monde, et l'air bien écolière ;	13	1	26	4	0.15384615384615385	[['bras'], ['petit'], ['joli'], ['figure']]
52	elle conte son histoire à cette femme, elle la supplie de la protéger comme elle a fait il y a quelques années de son ancienne amie.	13	2	26	0	0.0	[]
53	-- Quel âge avez-vous, mon enfant ?	14	0	6	0	0.0	[]
54	lui demande Mme Du Buisson.	14	1	5	0	0.0	[]
55	-- Quinze ans dans quelques jours, madame.	15	0	6	0	0.0	[]
56	--Et jamais personne...	16	0	3	0	0.0	[]
57	-- Oh non, madame, je vous le jure.	17	0	7	0	0.0	[]
58	--Mais c'est que quelquefois dans ces couvents un aumônier... une religieuse, une camarade... il me faut des preuves sûres.	18	0	20	0	0.0	[]
59	--Il ne tient qu'à vous de vous les procurer, madame...	19	0	11	0	0.0	[]
60	Et la Du Buisson, s'étant affublée d'une paire de lunettes et ayant vérifié par elle-même l'état exact des choses, dit à Juliette : --Eh bien mon enfant, vous n'avez qu'à rester ici, beaucoup de soumission à mes conseils, un grand fonds de complaisance pour mes pratiques, de la propreté, de l'économie, de la candeur vis-à-vis de moi, de l'urbanité avec vos compagnes et de la fourberie envers les hommes, dans quelques années d'ici je vous mettrai en état de vous retirer dans une chambre avec une commode, un trumeau, une servante, et l'art que vous aurez acquis chez moi vous donnera de quoi vous procurer le reste.	20	0	115	1	0.008695652173913044	[['grand']]
61	La Du Buisson s'empara du petit paquet de Juliette, elle lui demanda si elle n'avait point d'argent et celle-ci ayant trop franchement avoué qu'elle avait cent écus, la chère maman s'en empara en assurant sa jeune élève qu'elle placerait ce petit fonds à son profit, mais qu'il ne fallait pas qu'une jeune fille eût d'argent... c'était un moyen de faire mal et dans un siècle aussi corrompu, une fille sage et bien née devait éviter avec soin tout ce qui pouvait la faire tomber dans quelque piège.	21	0	97	4	0.041237113402061855	[['petit'], ['de', 'argent'], ['petit'], ['de', 'argent']]
62	Ce sermon fini, la nouvelle venue fut présentée à ses compagnes, on lui indiqua sa chambre dans la maison et dès le lendemain, ses prémices furent en vente ; en quatre mois de temps, la même marchandise fut successivement vendue à quatre-vingts personnes qui toutes la payèrent comme neuve, et ce fut qu'au bout de cet épineux noviciat que Juliette prit des patentes de sœur converse.	21	1	66	0	0.0	[]
63	De ce moment elle fut réellement reconnue comme fille de la maison et en partagea les libidineuses fatigues... autre noviciat ;	21	2	20	0	0.0	[]
64	si dans l'un à quelques écarts près Juliette avait servi la nature, elle en oublia les lois dans le second : des recherches criminelles, de honteux plaisirs, de sourdes et crapuleuses débauches, des goûts scandaleux et bizarres, des fantaisies humiliantes, et tout cela finit d'une part du désir de jouir sans risquer sa santé, de l'autre, d'une satiété pernicieuse qui blasant l'imagination, ne la laisse plus s'épanouir que par des excès et se rassasier que de dissolutions...	21	3	82	0	0.0	[]
65	Juliette corrompit entièrement ses mœurs dans cette seconde école et les triomphes qu'elle vit obtenir au vice dégradèrent totalement son âme ;	21	4	22	0	0.0	[]
66	elle sentit que née pour le crime, au moins devait-elle aller au grand, et renoncer à languir dans un état subalterne qui en lui faisant faire les mêmes fautes, en l'avilissant également, ne lui rapportait pas à beaucoup près le même profit.	21	5	44	1	0.022727272727272728	[['grand']]
67	Elle plut à un vieux seigneur fort débauché qui d'abord ne l'avait fait venir que pour l'aventure d'un quart d'heure, elle eut l'art de s'en faire magnifiquement entretenir et parut enfin aux spectacles, aux promenades à côté des cordons bleus de l'ordre de Cythère ;	21	6	52	3	0.057692307692307696	[['vieux'], ['fort'], ['bleu']]
68	on la regarda, on la cita, on l'envia et la friponne sut si bien s'y prendre qu'en quatre ans elle mina trois hommes, dont le plus pauvre avait cent mille écus de rentes.	21	7	36	1	0.027777777777777776	[['fripon']]
69	Il n'en fallut pas davantage pour faire sa réputation ;	22	0	10	0	0.0	[]
70	l'aveuglement des gens du siècle est tel, que plus une de ces malheureuses a prouvé sa malhonnêteté, plus on est envieux d'être sur sa liste, il semble que le degré de son avilissement et de sa corruption devienne la mesure des sentiments que l'on ose afficher pour elle.	22	1	51	0	0.0	[]
