sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	LETTRE PREMIÈRE.	0	0	2	0	0.0	[]
1	Madrid, 2 novembre 1679.	1	0	4	0	0.0	[]
2	Me voici enfin à Madrid, où je suis résolue d'attendre tranquillement le retour du roi, et l'arrivée de la reine	2	0	22	0	0.0	[]
3	, sa femme.	2	1	2	0	0.0	[]
4	Je n'ai pas eu le courage d'aller à Burgos.	2	2	11	0	0.0	[]
5	M.	2	3	1	0	0.0	[]
6	de Villars	3	0	2	0	0.0	[]
7	,	3	1	0	0	0	[]
8	qui m'attendait ici, est parti pour rejoindre le roi, qui va chercher la reine d'une telle impétuosité, qu'on ne peut le suivre;	3	2	25	0	0.0	[]
9	et si elle n'est pas encore arrivée à Burgos, il est résolu d'emmener avec lui l'archevêque de cette ville-là, et d'aller jusqu'à Vittoria, ou sur la frontière, pour épouser cette princesse.	3	3	36	0	0.0	[]
10	Il n'a voulu écouter aucun conseil contraire à cette diligence.	3	4	11	0	0.0	[]
11	Il est transporté d'amour et d'impatience.	3	5	8	0	0.0	[]
12	Ainsi, avec de telles dispositions, il ne faut pas douter que cette jeune reine ne soit heureuse.	3	6	17	0	0.0	[]
13	La reine douairière, qui est très-bonne et très-raisonnable, souhaite passionnément qu'elle soit contente.	3	7	16	0	0.0	[]
14	Je trouvai, en venant, toutes les dames, et tous les officiers de sa maison, qui est très-nombreuse, auprès de Burgos.	3	8	21	0	0.0	[]
15	La duchesse de Terranova , sa camarera mayor , fit arrêter sa litière auprès de la mienne.	3	9	15	0	0.0	[]
16	Elle me parut spirituelle et très	3	10	6	0	0.0	[]
17	-honnête	3	11	1	0	0.0	[]
18	, point aussi vieille que je me l'étais figurée.	3	12	9	1	0.1111111111111111	[['vieux']]
19	Toutes les dames et filles d'honneur me montraient de loin leurs mouchoirs que l'on met en l'air en signe d'amitié.	3	13	24	0	0.0	[]
20	Je pensai oublier d'en faire autant;	3	14	7	0	0.0	[]
21	et, si ma fille ne m'en eût fait aviser, j'allois débuter par une grande sottise.	3	15	17	1	0.058823529411764705	[['grand']]
22	Vous ne sauriez vous imaginer quelles honnêtetés je reçois ici.	3	16	10	0	0.0	[]
23	La reine mère m'a envoyé son majordome pour savoir comment je me trouvais des fatigues de mon voyage, et me donner beaucoup de marques de bonté.	3	17	27	0	0.0	[]
24	On dit qu'elle n'a pas accoutumé d'en user de la sorte avec les autres ambassadrices;	3	18	18	0	0.0	[]
25	ce n'est pas à mon médiocre mérite que j'attribue cet honneur.	3	19	13	0	0.0	[]
26	Je n'ai pas encore voulu recevoir de visites.	4	0	9	0	0.0	[]
27	J'attends le retour de M.	4	1	6	0	0.0	[]
28	de Villars	5	0	2	0	0.0	[]
29	.	5	1	0	0	0	[]
30	Il y a tant de manières et tant de cérémonies à observer, qu'il faut qu'il m'instruise de tout, depuis les moindres choses jusques aux plus importantes.	5	2	29	0	0.0	[]
31	Rien ne ressemble ici à ce qui se pratique en France.	5	3	11	0	0.0	[]
32	Don Juan est mort de chagrin;	6	0	6	1	0.16666666666666666	[['mourir']]
33	le roi commençait à lui en donner, en rappelant, sans lui en parler, plusieurs grands qu'il avait exilés.	6	1	19	1	0.05263157894736842	[['grand']]
34	Je ne sais si la princesse d'Harcourt entrera dans le carrosse de la reine.	7	0	15	0	0.0	[]
35	La connétable Colonne m'a envoyé visiter.	8	0	7	0	0.0	[]
36	Elle est toujours dans son couvent, dont elle s'ennuie fort;	8	1	11	0	0.0	[]
37	elle espère en sortir quand la reine sera ici, et loger chez sa belle-sœur, la marquise de lot Balbasès .	8	2	19	0	0.0	[]
38	L'abbé de Villars , qui l'alla voir l'autre jour, l'a trouvée très-bien faite, et j'entends dire qu'elle n'est pas reconnoissable de ce qu'elle était en France: c'est une taille charmante, un teint clair et net, de beaux yeux, des dents blanches, de beaux cheveux.	8	3	53	7	0.1320754716981132	[['taille'], ['teint'], ['clair'], ['oeil'], ['dent'], ['blanc'], ['beau']]
39	Elle a fait un livre de sa vie, qui est déjà traduit en trois langues, afin que personne n'ignore ses aventures: il est fort divertissant.	8	4	26	1	0.038461538461538464	[['fort']]
40	Elle est habillée à l'espagnole d'un fort bon air, mais ayant retranché et augmenté, ce qui en effet est mieux.	8	5	22	2	0.09090909090909091	[['espagnol'], ['fort']]
41	LETTRE II.	9	0	2	0	0.0	[]
42	Madrid, 30 novembre 1679.	10	0	4	0	0.0	[]
43	On ne peut mener une plus plaisante vie, que celle que je mène ici depuis mon arrivée, ne faisant aucune visite, et n'en voulant recevoir qu'après le retour de M.	11	0	32	0	0.0	[]
44	de Villars	12	0	2	0	0.0	[]
45	.	12	1	0	0	0	[]
46	Je sors quelquefois, quand il fait beau, pour aller, ce qu'on appelle tomar el sol , hors des portes.	12	2	19	1	0.05263157894736842	[['beau']]
47	Le soleil est très-agréable en cette saison.	12	3	8	1	0.125	[['agréable']]
48	Il faut soigneusement tirer tous les rideaux du carrosse dans la ville;	12	4	12	0	0.0	[]
49	autrement on passerait pour n'être pas honnête femme, et par tout pays il serait fâcheux de se décrier pour un si petit sujet.	12	5	24	1	0.041666666666666664	[['petit']]
50	Les ducs d'Ossone et d'Astorga se sont fort querellés devant la reine.	13	0	14	1	0.07142857142857142	[['fort']]
51	L'on a jugé que le premier avait tort, et on l'a envoyé ici attendre les ordres du roi.	13	1	20	0	0.0	[]
52	Je ne sais plus quelle charge il a ;	13	2	8	0	0.0	[]
53	mais les bruits de Madrid sont que le marquis de lot Balbasès la pourrait bien avoir.	13	3	16	0	0.0	[]
54	Je n'ai point encore vu de beautés Espagnoles.	13	4	9	0	0.0	[]
55	M.	14	0	1	0	0.0	[]
56	de Villars	15	0	2	0	0.0	[]
57	vient d'arriver de Burgos.	15	1	5	0	0.0	[]
58	Il m'a conté beaucoup de détails de tout ce qu'il vient de voir.	15	2	15	0	0.0	[]
59	Il se flatte que le prince et la princesse d'Harcourt auront été content de lui.	15	3	16	0	0.0	[]
60	Il m'a parlé de la plus belle robe du monde qu'avait la princesse.	15	4	15	1	0.06666666666666667	[['bel']]
61	Madame de Grancey a très	15	5	5	0	0.0	[]
62	-bien fait, et s'est fort bien servie de son temps de faveur auprès de la reine	15	6	17	1	0.058823529411764705	[['fort']]
63	, pour ne lui donner que de très-bons conseils.	15	7	9	0	0.0	[]
64	On croit qu'elle aura du roi Catholique une pension de deux mille écus.	15	8	14	0	0.0	[]
65	On ne sait point encore si elle viendra jusques ici.	15	9	10	0	0.0	[]
66	Elle paraissait fort tentée de s'en retourner avec la princesse d'Harcourt .	15	10	13	1	0.07692307692307693	[['fort']]
67	Le roi et la reine viennent seuls dans un grand carrosse sans glaces, à la mode du pays.	15	11	18	1	0.05555555555555555	[['grand']]
68	Il sera fort heureux pour eux qu'ils saient comme leur carrosse.	15	12	12	1	0.08333333333333333	[['fort']]
69	On dit que la reine fait très-bien: pour le roi, comme il était fort amoureux avant que de l'avoir vue, sa présence ne peut qu'avoir augmenté sa passion.	15	13	31	1	0.03225806451612903	[['fort']]
70	Elle reçut le roi avec un très-bel habit à la française, et une quantité surprenante de pierreries;	15	14	18	1	0.05555555555555555	[['bel']]
71	mais elle le quitta le lendemain pour s'habiller à l'espagnole; et le roi la trouva beaucoup mieux. Madame de Grancey en mit un aussi, que la reine lui donna, et se coiffa à l'espagnole;	15	15	37	1	0.02702702702702703	[['espagnol']]
72	ce qui lui sied fort bien.	15	16	6	1	0.16666666666666666	[['fort']]
73	Elle était avec les dames d'honneur, qui sont proprement les filles de la reine.	15	17	15	0	0.0	[]
74	Elles passent toutes deux à deux, après la comédie, devant le roi et la reine, faisant leurs révérences: madame de Grancey figurait avec une qui était de fort bonne grâce.	15	18	30	1	0.03333333333333333	[['fort']]
75	Je n'ai point entendu dire que la maréchale de Clérembault figurât avec personne, mais qu'elle parlait fort bien espagnol.	15	19	21	1	0.047619047619047616	[['fort']]
76	Le roi et la reine seront ici dans trois jours, et viendront demeurer à Buen-Retiro, maison royale aux portes de Madrid, jusqu'à ce que tout soit prêt pour l'entrée de la reine.	15	20	35	1	0.02857142857142857	[['royal']]
77	Que j'appréhende de m'habiller, et de commencer à sortir!	15	21	11	0	0.0	[]
78	Je ne suis point du tout née pour représenter.	15	22	9	0	0.0	[]
79	Je viens d'apprendre que madame de Grancey est partie de Burgos pour Paris avec le prince et la princesse d'Harcourt .	16	0	22	0	0.0	[]
80	Elle a eu mille louis, deux mille écus de pension, et un présent de diamants de dix-huit cents ou deux mille pistoles, tout pareil à celui qu'on a donné à la maréchale de Clérembault .	16	1	35	0	0.0	[]
81	Il y en a eu deux autres de trois mille pistoles pour le prince et la princesse d'Harcourt .	16	2	19	0	0.0	[]
82	Toutes les femmes, hors les deux nourrices de la reine, et deux autres filles, ont été renvoyées.	16	3	17	0	0.0	[]
83	Une vieille sous-gouvernante, nommée mademoiselle	16	4	5	1	0.2	[['vieux']]
84	Fauvelet	16	5	1	0	0.0	[]
85	, est morte en chemin; mais si bien en chemin, que son âme est partie de ce monde pour l'autre de dedans sa litière, ayant toujours voulu suivre, quelque malade qu'elle fût.	16	6	33	1	0.030303030303030304	[['mourir']]
86	Elle mourut peu d'heures avant que d'arriver au lieu où le roi vint trouver la reine, et où ils se sont mariés.	16	7	24	0	0.0	[]
87	La reine avait perdu en chemin mille pistoles contre le prince et la princesse d'Harcourt , et autres personnes qui l'accompagnaient.	17	0	22	0	0.0	[]
88	Quand leurs majestés furent parties, les joueurs eurent grand'peur de n'être pas payés;	17	1	14	0	0.0	[]
89	mais ils furent agréablement surpris par l'arrivée d'une bourse où était cette somme.	17	2	15	0	0.0	[]
90	Ne trouvez-vous pas que madame de Grancey a fait un agréable voyage?	18	0	13	1	0.07692307692307693	[['agréable']]
91	Tout le monde dans cette cour est fort content d'elle.	18	1	11	1	0.09090909090909091	[['fort']]
92	Le prince et la princesse d'Harcourt avaient un très-beau train, une grande table, et se sont fort bien acquittés de leur emploi.	18	2	24	3	0.125	[['beau'], ['grand'], ['fort']]
93	Leur entrée à Burgos fut trouvée fort belle.	18	3	8	1	0.125	[['fort']]
